Temperature ,Cu Dose (mol%),Concentration (ppm),Response
280,1.78,32.04,112.74
240,3.68,59.59,204.86
280,3.11,55.92,148.57
240,2.1,54.08,191.16
280,1.41,76.12,126.43
120,3.07,35.71,258.91
240,2.79,96.33,226.22
280,0.81,39.39,92.86
120,2.06,30.2,238.67
120,1.09,65.1,232.72
240,0.53,85.31,168.03
240,0.89,54.08,162.17
120,0.85,79.8,233.97
160,1.98,94.49,292.69
160,2.71,13.67,267.69
120,3.56,66.94,269.92
240,3.07,11.84,187.06
280,3.11,15.51,128.72
160,1.78,70.61,276.07
240,1.62,79.8,193.33
200,3.15,57.76,317.5
240,3.23,81.63,220.43
160,0.48,63.27,239.87
200,0.08,43.06,241.86
120,2.14,72.45,261.17
120,3.6,70.61,271.01
240,2.99,65.1,214.2
120,2.95,54.08,268.17
280,3.96,100.0,162.55
120,2.67,33.88,252.95
160,3.03,21.02,276.36
200,0.57,17.35,242.95
280,0.0,76.12,87.94
160,3.6,85.31,302.88
280,0.44,96.33,110.96
280,3.56,79.8,156.12
240,2.1,19.18,173.8
120,1.37,72.45,243.68
240,2.87,17.35,188.64
120,3.19,10.0,244.9
200,0.81,28.37,255.27
280,3.23,94.49,167.18
160,3.15,94.49,311.62
240,1.49,46.73,173.8
280,1.74,79.8,135.81
280,1.45,61.43,119.99
240,0.0,26.53,123.21
200,3.43,43.06,307.28
280,0.2,98.16,105.07
120,2.99,90.82,287.25
200,0.44,15.51,238.74
200,3.96,79.8,320.31
280,3.52,96.33,164.91
160,3.8,41.22,278.51
280,2.67,37.55,134.93
280,3.47,83.47,159.22
160,1.82,43.06,263.24
280,1.29,15.51,93.52
280,2.34,28.37,123.55
120,4.0,44.9,254.34
160,1.45,10.0,238.18
240,0.36,11.84,126.43
160,2.46,92.65,302.21
160,3.35,54.08,289.66
200,3.76,61.43,313.4
160,1.41,24.69,244.7
160,0.81,72.45,253.35
160,0.57,17.35,218.8
120,1.9,32.04,235.73
120,0.93,24.69,208.4
280,3.27,32.04,135.43
280,2.46,54.08,138.92
200,0.81,19.18,250.68
200,0.73,59.59,268.54
200,0.69,94.49,284.69
280,1.45,39.39,109.62
240,2.14,52.24,191.47
120,2.75,79.8,277.31
160,3.92,52.24,282.73
200,1.86,37.55,285.78
200,1.17,43.06,271.63
280,2.18,28.37,119.97
240,3.56,30.2,191.48
240,1.58,74.29,189.37
280,2.18,48.57,130.68
160,0.77,68.78,250.37
200,1.25,61.43,283.21
200,3.96,39.39,300.38
120,2.55,26.53,246.68
240,0.65,70.61,164.06
120,1.58,90.82,257.83
240,1.7,68.78,189.51
120,0.08,30.2,187.54
160,0.48,88.98,252.85
280,2.14,98.16,154.16
200,1.54,50.41,284.5
240,3.76,39.39,194.09
240,2.06,77.96,202.49
200,0.57,72.45,270.19
160,1.54,19.18,244.79
160,1.74,81.63,281.03
160,3.27,74.29,300.32
120,1.86,90.82,264.41
160,3.96,57.76,285.34
120,2.75,87.14,280.84
200,1.62,57.76,290.15
240,2.42,30.2,186.38
240,0.61,35.71,145.55
160,1.37,13.67,238.44
120,3.6,54.08,263.07
160,0.24,28.37,215.35
240,1.29,61.43,176.27
120,1.82,30.2,233.19
160,1.7,28.37,253.46
280,2.83,15.51,126.43
280,0.61,54.08,94.45
240,1.86,21.02,169.48
240,0.65,66.94,161.96
200,3.19,30.2,302.98
240,2.67,87.14,219.06
120,3.52,90.82,282.42
160,0.4,28.37,220.29
200,1.62,98.16,310.18
120,2.3,65.1,261.11
200,2.46,24.69,292.08
160,0.81,44.9,239.44
200,2.83,11.84,292.91
120,3.35,11.84,243.89
200,2.14,96.33,321.56
160,2.02,85.31,289.19
240,2.55,46.73,196.51
280,2.1,57.76,132.92
120,3.52,55.92,264.84
240,2.34,30.2,184.49
280,1.94,54.08,128.13
120,2.79,81.63,278.84
240,2.99,92.65,228.21
200,3.52,26.53,298.29
240,1.7,59.59,184.82
280,1.7,44.9,117.25
120,4.0,79.8,271.69
280,1.37,79.8,127.09
160,2.06,21.02,257.68
120,0.0,52.24,195.9
280,3.43,94.49,164.85
120,1.58,63.27,244.09
240,1.25,87.14,188.11
280,0.04,32.04,67.18
200,0.48,74.29,269.25
280,1.78,43.06,118.68
240,0.81,10.0,137.54
280,0.65,54.08,95.72
280,3.35,22.86,129.72
200,2.63,33.88,299.8
280,2.83,87.14,162.55
280,0.36,11.84,66.25
280,0.61,88.98,112.03
240,1.09,13.67,147.46
280,0.0,81.63,90.87
120,1.45,83.47,250.78
160,1.37,83.47,273.33
240,2.63,79.8,215.01
280,3.07,90.82,166.78
120,2.18,41.22,246.53
200,0.32,17.35,236.34
160,0.97,44.9,243.64
240,1.21,94.49,190.69
120,3.56,70.61,271.98
240,0.24,87.14,161.06
240,1.54,85.31,194.22
240,3.56,88.98,221.09
160,1.9,50.41,268.97
240,0.65,11.84,134.33
120,0.73,24.69,202.69
200,0.24,96.33,273.09
200,3.43,66.94,318.98
120,3.52,83.47,278.34
280,1.9,77.96,138.65
160,3.56,26.53,273.32
240,3.39,37.55,196.59
240,0.57,10.0,131.66
240,1.62,72.45,189.32
200,0.97,13.67,252.2
280,0.12,79.8,94.13
120,1.82,52.24,243.7
160,3.8,37.55,276.68
120,0.85,81.63,234.83
200,2.51,15.51,288.38
200,0.0,98.16,267.16
120,2.83,39.39,258.27
160,3.23,17.35,272.5
280,0.48,79.8,103.61
280,0.57,26.53,79.5
160,3.31,72.45,299.22
160,3.15,61.43,295.31
240,2.02,39.39,182.32
200,3.03,63.27,321.06
240,1.66,24.69,166.53
200,1.01,17.35,255.35
120,0.28,37.55,196.9
280,0.04,39.39,70.8
160,2.1,59.59,277.61
240,3.8,70.61,209.41
240,2.42,11.84,176.85
200,2.91,88.98,332.82
160,4.0,13.67,262.91
240,0.28,77.96,157.67
160,3.43,79.8,301.79
120,3.88,90.82,278.75
200,2.83,68.78,321.23
280,0.12,35.71,71.74
240,2.67,96.33,224.33
200,2.99,98.16,338.68
160,1.78,26.53,254.23
120,2.51,32.04,248.37
280,1.05,43.06,100.73
120,1.41,43.06,229.93
240,2.95,90.82,226.58
120,2.02,39.39,241.99
280,0.08,68.78,86.87
280,3.07,19.18,130.74
160,0.69,63.27,245.64
160,2.71,39.39,280.46
200,1.37,15.51,263.05
160,0.12,100.0,247.57
160,2.1,39.39,267.98
160,2.55,10.0,262.41
120,3.47,50.41,262.56
280,2.06,98.16,152.56
200,0.93,26.53,257.43
200,2.83,13.67,293.73
200,3.68,30.2,298.38
120,3.96,55.92,260.6
200,2.63,87.14,326.63
280,1.29,96.33,133.36
120,2.38,76.12,268.22
160,2.51,28.37,270.94
120,0.57,22.86,197.57
160,0.77,65.1,248.18
280,2.95,15.51,128.82
240,2.55,52.24,199.53
120,0.12,41.22,194.31
240,1.9,19.18,169.58
240,0.36,76.12,158.65
240,1.78,39.39,176.69
240,0.08,83.47,153.76
200,3.52,48.57,309.02
280,2.22,13.67,113.37
280,2.63,35.71,132.73
200,2.71,79.8,324.71
200,3.03,22.86,301.29
120,2.26,43.06,249.25
120,0.97,32.04,212.99
200,0.81,48.57,265.17
280,1.62,30.2,108.47
160,3.76,32.04,274.34
280,1.17,17.35,91.07
240,2.91,100.0,230.25
160,3.6,32.04,276.23
200,3.68,24.69,295.52
200,1.62,88.98,305.79
240,3.31,32.04,195.06
120,2.67,88.98,280.42
240,2.91,24.69,192.6
240,3.84,81.63,214.43
120,1.82,98.16,266.54
120,1.25,41.22,225.31
280,0.12,77.96,92.77
160,2.22,100.0,301.35
160,0.97,68.78,255.72
120,0.85,50.41,219.3
120,0.53,66.94,218.66
240,1.62,41.22,174.25
160,2.99,63.27,297.78
200,3.07,33.88,306.19
200,2.26,28.37,289.61
200,2.71,90.82,330.09
280,0.57,76.12,104.82
280,0.28,81.63,98.85
200,0.36,39.39,248.19
240,1.01,50.41,163.53
120,2.99,63.27,273.51
160,2.14,11.84,254.73
160,0.16,28.37,213.07
200,0.0,39.39,237.55
240,0.69,77.96,168.79
200,1.86,48.57,291.14
160,3.8,54.08,284.89
120,1.45,46.73,232.74
200,2.91,94.49,335.61
200,0.28,61.43,256.74
280,2.42,43.06,132.56
120,2.06,96.33,271.5
160,4.0,24.69,268.38
120,0.73,55.92,218.6
240,0.57,76.12,164.46
120,3.47,76.12,275.32
240,2.63,55.92,202.76
240,1.66,76.12,192.23
240,2.46,100.0,221.73
200,0.53,30.2,248.49
120,0.48,96.33,232.2
120,3.23,19.18,249.25
120,1.41,96.33,256.63
280,1.45,30.2,104.35
120,3.84,57.76,262.4
160,1.21,70.61,262.84
200,2.91,90.82,333.77
200,1.66,39.39,282.14
120,2.22,28.37,241.22
280,2.42,94.49,158.27
160,0.36,32.04,220.72
240,0.65,43.06,150.23
160,0.4,96.33,253.97
160,2.18,98.16,299.21
200,2.99,61.43,320.63
160,1.62,87.14,280.7
120,2.26,44.9,250.29
120,0.89,98.16,244.33
120,3.15,46.73,263.87
280,0.24,65.1,89.76
200,2.79,83.47,327.66
160,1.7,10.0,243.93
120,0.97,46.73,220.76
280,3.27,72.45,155.35
200,1.29,19.18,262.9
240,1.05,100.0,189.23
280,3.92,48.57,137.17
160,0.65,85.31,255.32
240,2.91,74.29,217.62
280,1.05,68.78,113.95
240,0.24,30.2,131.87
120,0.65,87.14,232.1
280,2.51,26.53,125.87
200,0.48,92.65,278.13
240,3.96,43.06,193.99
240,0.0,79.8,149.89
120,1.17,61.43,233.01
200,3.23,32.04,303.62
240,2.99,66.94,215.43
120,0.73,61.43,221.47
160,1.25,39.39,247.95
240,1.58,85.31,194.86
120,0.28,76.12,216.15
160,0.24,87.14,244.67
280,0.16,85.31,97.21
200,1.58,43.06,281.45
240,0.53,48.57,149.37
160,2.46,32.04,272.02
160,0.53,68.78,243.72
120,1.82,68.78,252.26
240,2.75,32.04,193.04
240,3.72,66.94,208.19
160,0.0,61.43,224.37
280,2.42,22.86,122.37
240,2.42,76.12,209.39
120,2.42,22.86,242.51
120,2.79,10.0,242.99
280,0.44,61.43,93.28
200,2.75,83.47,327.17
160,0.77,98.16,265.35
160,0.28,88.98,246.86
280,3.6,72.45,152.45
200,0.77,70.61,275.38
240,2.3,48.57,192.46
240,0.24,19.18,126.57
280,1.09,88.98,124.95
280,2.67,96.33,163.79
120,1.98,72.45,257.93
240,2.51,24.69,185.16
160,0.81,100.0,266.82
240,1.82,22.86,169.26
200,3.27,10.0,292.18
280,0.57,90.82,111.62
240,0.89,98.16,184.47
200,0.81,17.35,249.36
200,0.97,35.71,263.24
160,0.28,13.67,209.26
160,0.81,66.94,250.37
280,3.6,87.14,159.54
160,1.17,70.61,261.51
280,0.69,77.96,108.58
160,1.86,46.73,266.05
280,3.47,68.78,151.61
280,0.81,76.12,111.12
240,1.66,39.39,174.2
160,2.3,10.0,257.59
160,1.17,35.71,244.2
200,2.75,48.57,309.8
240,0.12,88.98,157.95
120,0.2,98.16,224.98
240,0.2,24.69,128.32
160,1.98,50.41,270.63
200,0.04,43.06,240.45
240,2.14,48.57,189.6
160,2.79,57.76,290.71
280,0.57,21.02,76.92
200,3.03,72.45,326.01
120,3.64,72.45,271.79
240,1.13,32.04,157.47
200,0.44,44.9,253.51
200,0.32,57.76,256.35
160,1.7,72.45,275.26
120,3.64,43.06,257.5
240,1.29,19.18,154.94
280,0.93,39.39,95.87
240,3.47,33.88,194.11
240,0.44,65.1,155.74
240,0.73,70.61,165.72
280,0.57,50.41,91.53
280,1.41,66.94,122.09
160,2.02,41.22,267.25
200,0.89,13.67,249.79
280,2.95,83.47,163.12
120,3.35,54.08,265.68
200,0.48,17.35,240.55
200,0.69,10.0,242.91
200,4.0,21.02,290.59
240,2.02,100.0,212.39
280,1.82,70.61,133.42
160,0.4,21.02,216.49
280,3.19,13.67,126.8
160,3.56,52.24,286.75
120,2.34,21.02,239.42
280,0.48,100.0,114.34
200,1.94,63.27,299.7
240,1.33,96.33,194.5
200,3.43,92.65,332.04
160,3.35,46.73,285.78
200,1.58,22.86,271.85
240,1.86,30.2,174.01
200,4.0,33.88,297.36
120,3.27,46.73,262.65
120,2.3,15.51,236.4
120,2.55,63.27,264.71
280,2.99,63.27,153.41
200,0.04,28.37,233.48
160,0.24,74.29,238.42
200,3.15,72.45,324.73
240,2.79,70.61,213.15
280,0.48,63.27,95.73
240,3.39,11.84,183.93
120,0.57,87.14,229.85
160,3.31,85.31,305.33
240,3.15,50.41,205.66
240,2.87,63.27,211.32
120,1.66,79.8,254.2
280,0.44,10.0,68.06
200,2.14,19.18,282.37
120,1.58,46.73,235.42
200,3.92,50.41,306.04
120,2.26,76.12,265.49
240,0.36,21.02,130.75
200,0.69,90.82,283.22
160,2.34,37.55,272.36
120,1.05,96.33,247.71
240,1.82,94.49,205.36
200,2.02,70.61,305.11
200,1.05,68.78,281.39
200,1.82,85.31,308.73
120,1.98,44.9,243.97
240,1.37,57.76,176.43
280,0.08,55.92,80.44
240,1.01,59.59,168.0
280,0.65,70.61,104.16
280,0.2,57.76,84.73
160,3.6,94.49,307.08
280,0.48,46.73,87.44
240,0.73,87.14,174.69
200,0.85,54.08,268.92
160,3.39,30.2,277.41
160,0.32,19.18,213.12
200,0.44,17.35,239.74
200,1.41,26.53,269.66
200,1.98,65.1,301.95
200,2.1,30.2,287.29
200,0.0,83.47,259.57
200,2.34,26.53,290.57
280,3.11,30.2,135.96
160,1.25,70.61,263.84
240,1.01,54.08,165.18
160,0.69,54.08,240.92
120,0.2,65.1,208.67
240,0.89,52.24,161.08
200,1.94,76.12,306.96
120,0.73,52.24,216.57
160,1.74,26.53,253.32
280,0.0,74.29,86.86
240,1.21,46.73,166.63
160,0.53,32.04,225.27
280,3.39,85.31,160.36
160,0.97,22.86,232.58
120,1.62,83.47,255.24
120,1.13,22.86,212.76
280,2.83,24.69,131.4
200,3.27,81.63,328.21
280,3.96,44.9,135.16
200,2.79,96.33,334.02
120,3.96,68.78,267.02
280,0.4,76.12,99.98
240,2.42,87.14,214.48
200,0.97,17.35,253.91
120,3.03,79.8,281.61
240,1.37,39.39,167.2
280,3.92,90.82,158.24
160,3.96,94.49,303.76
280,0.89,50.41,100.53
240,0.69,24.69,141.76
120,3.56,33.88,253.16
120,1.45,10.0,214.72
200,2.3,19.18,285.52
200,3.64,76.12,321.44
160,3.92,68.78,291.52
240,3.88,59.59,203.18
120,0.65,63.27,220.35
240,3.84,74.29,210.55
240,2.55,92.65,219.77
120,1.66,70.61,249.83
280,3.35,39.39,138.09
240,0.08,30.2,127.85
200,2.83,19.18,296.53
240,2.3,57.76,197.11
200,0.08,17.35,229.36
160,0.57,32.04,226.31
160,0.53,35.71,227.03
120,1.49,54.08,237.53
280,0.93,21.02,86.54
160,0.4,44.9,228.2
240,2.42,90.82,216.53
240,3.64,32.04,191.75
200,0.28,39.39,245.91
240,0.61,19.18,137.09
160,0.24,77.96,240.11
160,2.18,28.37,264.13
160,1.98,98.16,295.02
280,2.91,65.1,152.88
240,1.49,48.57,174.63
120,0.97,28.37,211.68
160,3.76,46.73,281.64
160,0.0,30.2,209.38
240,2.67,94.49,223.09
200,2.63,55.92,310.44
280,3.39,57.76,147.26
120,3.03,30.2,256.85
120,0.16,30.2,189.99
160,1.13,33.88,242.61
120,1.17,74.29,239.91
120,3.35,63.27,270.75
240,3.27,10.0,184.27
200,0.2,26.53,237.22
120,1.58,70.61,247.45
240,0.12,11.84,119.24
240,2.55,13.67,180.3
200,3.27,87.14,331.12
160,0.77,72.45,252.18
240,0.65,44.9,150.72
280,1.13,74.29,118.51
280,2.1,70.61,139.81
280,3.47,76.12,155.74
280,0.85,28.37,88.02
280,0.0,55.92,77.74
240,3.56,68.78,211.21
200,0.81,65.1,273.67
200,1.09,77.96,287.49
160,0.53,65.1,241.5
240,1.9,88.98,204.09
120,3.43,70.61,272.9
200,0.16,77.96,261.84
240,2.83,13.67,185.63
240,2.91,33.88,197.36
240,1.17,94.49,189.95
280,0.28,83.47,100.31
280,2.02,63.27,133.94
240,3.27,30.2,194.21
240,0.0,39.39,129.71
240,1.17,100.0,192.68
160,0.85,81.63,258.72
160,0.48,21.02,218.53
160,3.56,48.57,284.5
160,0.85,96.33,266.11
200,1.37,79.8,295.48
160,2.99,39.39,285.56
160,0.97,24.69,233.11
160,0.73,66.94,248.03
280,3.07,83.47,163.13
120,1.62,44.9,236.05
160,2.91,54.08,291.63
200,1.37,85.31,298.07
280,0.12,44.9,76.4
120,2.79,59.59,267.88
240,1.29,96.33,193.78
200,1.82,90.82,311.55
240,0.57,54.08,153.4
200,1.09,50.41,273.44
280,0.69,54.08,96.84
160,0.53,90.82,254.56
200,2.42,81.63,319.79
240,3.56,39.39,196.32
200,2.83,24.69,299.13
240,0.97,24.69,149.41
160,2.83,98.16,311.84
200,2.75,55.92,313.7
160,1.25,24.69,240.74
120,2.38,61.43,261.01
200,1.09,21.02,258.73
160,1.41,26.53,245.55
240,0.32,52.24,145.55
120,2.83,35.71,256.81
200,2.75,22.86,296.76
200,3.68,41.22,303.97
120,1.86,22.86,230.28
240,2.51,57.76,201.45
240,2.38,66.94,203.21
160,2.63,50.41,284.38
200,2.79,19.18,295.61
240,0.2,15.51,123.81
240,2.14,30.2,180.26
200,3.15,24.69,300.79
160,2.42,94.49,302.27
200,3.64,70.61,318.82
160,0.57,44.9,232.68
240,1.82,90.82,204.07
280,1.66,52.24,120.38
240,3.43,98.16,226.66
200,2.59,72.45,318.63
240,3.39,70.61,213.15
200,2.63,63.27,314.28
120,2.34,68.78,263.74
200,3.23,74.29,324.79
240,3.43,26.53,190.66
240,0.16,30.2,129.63
120,1.58,33.88,229.25
240,2.06,32.04,179.38
160,0.44,28.37,221.4
200,0.81,66.94,274.36
160,1.94,11.84,250.95
280,1.13,96.33,129.19
240,3.11,37.55,199.68
120,1.66,10.0,219.39
200,0.32,96.33,275.7
200,1.82,72.45,302.29
120,3.88,46.73,256.62
120,3.35,33.88,255.3
160,3.31,65.1,295.4
160,1.49,65.1,266.88
200,2.22,94.49,321.9
160,0.53,74.29,246.5
120,0.81,81.63,233.9
120,1.01,76.12,235.89
280,2.02,44.9,124.63
240,0.36,98.16,169.69
160,1.78,13.67,247.53
280,2.67,43.06,137.62
240,2.42,79.8,211.47
160,0.85,22.86,229.07
200,2.06,28.37,285.59
280,0.44,77.96,101.65
240,1.86,61.43,189.32
200,3.88,94.49,328.57
160,3.03,100.0,315.98
280,1.94,94.49,147.95
120,0.12,77.96,212.64
200,3.76,15.51,290.07
240,1.54,57.76,180.02
240,2.34,81.63,210.04
120,1.45,19.18,218.69
200,3.76,10.0,287.49
240,3.11,88.98,225.26
280,1.58,11.84,98.18
160,3.68,50.41,284.6
160,0.48,48.57,232.48
280,3.6,35.71,133.16
280,2.46,46.73,134.92
280,2.83,44.9,141.47
200,2.63,81.63,323.65
120,1.66,77.96,252.96
160,2.51,100.0,306.6
240,1.45,87.14,192.76
280,3.11,68.78,155.65
280,2.3,19.18,117.72
280,0.65,63.27,100.17
160,0.61,85.31,254.04
200,0.69,81.63,278.83
120,4.0,76.12,269.75
160,0.61,63.27,243.2
200,3.72,48.57,307.27
160,2.34,54.08,280.31
120,0.24,79.8,217.04
240,0.04,77.96,150.34
280,1.29,59.59,115.01
120,3.43,17.35,246.16
200,1.37,11.84,261.12
160,0.61,37.55,230.16
280,0.04,90.82,96.84
200,2.55,15.51,289.38
160,1.66,100.0,288.18
240,0.85,81.63,174.6
280,2.55,33.88,130.33
160,1.33,88.98,275.04
280,2.22,63.27,138.48
200,1.86,35.71,284.66
160,1.58,37.55,255.09
280,0.08,44.9,75.07
120,3.47,63.27,268.79
280,0.85,96.33,122.43
240,1.7,85.31,198.0
200,1.78,55.92,292.8
280,3.6,94.49,163.35
120,2.1,33.88,240.94
280,3.31,11.84,124.87
280,0.24,37.55,75.84
240,0.77,33.88,148.7
160,0.77,61.43,245.8
120,2.26,13.67,234.03
120,0.48,13.67,190.83
120,2.55,28.37,247.33
280,3.03,87.14,165.25
120,3.6,87.14,279.75
280,0.24,32.04,72.87
280,1.82,11.84,103.64
240,1.33,100.0,196.26
280,3.47,43.06,138.75
240,4.0,88.98,216.62
160,3.88,13.67,264.07
280,3.39,72.45,154.39
120,1.74,39.39,235.59
160,2.63,22.86,270.28
200,1.58,26.53,273.39
120,1.54,63.27,243.19
280,0.4,66.94,95.52
280,3.72,30.2,129.94
280,0.97,61.43,108.01
240,0.85,83.47,175.95
240,3.47,10.0,182.13
120,3.27,63.27,271.2
160,1.9,17.35,252.41
200,1.7,48.57,287.44
200,3.03,52.24,315.86
200,2.3,96.33,324.97
200,1.74,17.35,272.96
120,2.46,96.33,280.27
280,2.87,61.43,150.15
120,3.19,24.69,252.6
200,1.66,13.67,268.83
120,0.65,74.29,225.83
120,3.35,59.59,268.27
160,3.6,28.37,274.24
120,2.38,98.16,279.36
280,1.58,92.65,138.77
160,0.73,63.27,246.62
240,0.77,83.47,173.79
120,0.69,35.71,207.85
200,2.83,50.41,312.15
240,0.08,35.71,130.51
280,1.7,50.41,120.39
280,3.56,28.37,130.78
160,2.63,48.57,283.05
200,1.86,92.65,312.94
200,0.57,44.9,257.17
240,2.1,37.55,183.07
240,3.8,24.69,186.53
280,2.18,22.86,117.5
200,1.33,22.86,265.74
280,1.17,37.55,101.26
200,2.42,63.27,310.69
120,0.32,63.27,211.3
240,2.75,21.02,187.79
280,0.69,19.18,79.36
240,3.68,100.0,225.1
200,1.17,32.04,266.25
280,0.48,98.16,112.81
240,2.22,30.2,181.87
280,3.43,15.51,125.42
240,3.43,100.0,227.78
240,2.18,41.22,186.74
200,1.29,32.04,269.27
120,1.17,70.61,237.78
200,2.67,90.82,329.3
280,1.37,26.53,101.05
240,3.96,39.39,192.4
120,1.01,70.61,233.62
240,1.13,55.92,169.04
160,0.28,98.16,251.66
280,1.82,17.35,106.37
280,3.07,21.02,131.4
280,0.73,92.65,117.28
200,2.18,11.84,279.42
120,3.72,92.65,281.14
280,0.85,61.43,104.99
280,3.72,33.88,131.53
200,3.43,39.39,305.39
280,0.85,11.84,80.05
120,3.47,26.53,250.34
200,3.72,63.27,314.7
280,0.89,30.2,90.2
280,0.32,26.53,73.11
120,3.72,94.49,282.09
120,3.31,57.76,267.75
240,3.03,98.16,230.92
200,1.13,76.12,287.7
280,3.27,39.39,139.17
280,0.16,55.92,82.95
280,2.1,44.9,126.65
160,0.85,92.65,264.28
120,1.66,100.0,264.31
200,2.34,52.24,303.79
240,3.35,50.41,203.83
240,0.61,22.86,138.99
120,3.76,90.82,279.71
240,3.52,35.71,194.87
200,0.77,79.8,279.74
280,3.27,66.94,152.79
160,0.53,72.45,245.26
280,0.53,35.71,83.18
120,0.57,88.98,230.67
240,3.15,96.33,228.8
160,4.0,22.86,267.53
240,0.93,76.12,174.26
160,3.47,63.27,292.5
200,2.3,100.0,326.19
240,2.91,30.2,195.24
160,0.81,92.65,263.41
200,3.03,92.65,336.32
120,2.63,87.14,278.39
240,3.68,44.9,197.63
200,4.0,15.51,287.51
280,1.7,19.18,104.69
160,1.25,28.37,242.3
120,1.41,72.45,244.67
