Concentration,Temperature,Doping (mol%),Response
392.01,190.69,6,7.37
27.13,233.13,0,3.3
353.2,189.99,3,1.68
30.28,205.3,3,3.96
237.94,243.35,3,5.13
330.74,235.69,3,5.64
18.12,174.3,6,2.85
356.8,240.14,9,5.84
239.95,186.84,9,4.59
67.28,249.65,3,4.7
207.74,226.83,9,6.19
334.09,192.93,9,5.23
167.36,294.67,3,4.11
322.62,220.32,6,11.46
295.15,187.22,3,1.65
190.85,258.13,9,5.04
338.58,204,0,2.46
114.3,185.42,3,1.58
349.88,223.54,6,10.52
308.51,155.32,6,1.3
354.48,284.19,0,2.35
159.61,190.82,3,1.66
276.38,162.33,6,1.62
85.88,243.2,3,5.15
292.55,243.15,9,5.73
72.58,257.71,6,6.03
82.83,175.06,3,1.67
69.34,229.28,9,5.94
102.13,248.67,3,4.75
63.49,294,3,3.95
103.18,162.89,0,1.23
262.46,280.34,0,2.67
286.24,248.68,9,5.51
356.21,195.17,6,8.56
107.04,159.9,3,1.14
47.33,287.27,0,2.3
347.87,174.58,9,3.03
371.33,167.16,0,1.37
233.17,190.52,3,1.95
154.81,160.23,9,1.93
18.58,152.03,0,0.84
249.91,152.78,3,0.87
265.32,264.58,9,4.94
82.13,260.17,9,5.16
172.78,151.26,0,0.75
64.49,157.77,0,1.07
202.1,178.15,0,1.75
259.33,206.13,3,3.92
301.21,259.74,9,5.07
4.54,181.94,0,1.85
305.48,255.89,9,5.33
159.4,174.09,0,1.58
257.66,157.13,3,1.03
166.99,167.58,9,2.35
144.39,280.55,9,3.47
377.45,235.65,6,9.58
253.36,157.98,0,1.06
30.35,191.04,0,2.09
299.86,233.9,6,9.71
269.37,250.78,0,4.03
91.23,258.83,0,3.54
318.67,183.99,3,1.76
209.73,190.9,9,5.03
49.87,206.87,0,2.75
365.94,208.55,0,2.81
76.04,168.83,3,1.56
371,194.47,9,5.39
125.55,226.69,3,5.75
225.2,265.35,9,5.02
32.91,225.79,3,5.82
199.38,195.45,6,9.11
250.93,150.07,9,1.16
123.11,275.46,3,4.18
64.19,196.9,3,2.68
182.7,275.57,9,3.96
115.9,157.7,0,0.88
77.37,259.93,3,4.61
301.64,257.08,9,5.31
143.53,201.41,6,10.56
278.81,168.63,6,3.28
259.86,226.41,0,3.11
185.4,218.07,9,6.87
139.98,291.67,3,3.95
216.12,270.66,3,4.32
226.34,280.87,3,4.04
322.86,161.78,3,1.34
32.54,180.75,0,1.82
311.95,163.94,0,1.17
92.27,226.62,0,3.19
185.52,164.92,9,2.38
193.22,187.74,3,1.82
394.2,163.03,9,2.08
232.65,173.64,3,1.56
156.74,203.28,3,3.61
133.8,287.83,0,2.27
258.07,162.19,6,1.73
278.01,270.25,0,3.01
231.29,225.78,9,6.43
299.27,214.23,3,4.73
348.71,242.59,0,3.7
349.18,220.18,6,11.15
113.51,195.94,0,2.28
303.51,173.94,3,1.55
4.57,182.19,3,1.51
229.72,226.39,3,5.7
108.6,257,3,4.83
217.68,286.01,9,2.92
202.46,269.27,0,3.15
41.93,188.03,9,4.76
302.22,157.49,0,1.08
21.92,230.19,9,5.82
355.24,192.37,9,5.22
265.91,257.15,9,5.45
392.42,288.53,9,2.83
370.57,286.15,9,2.69
326.96,239.52,3,5.46
360.94,175,9,3.16
323.25,157.91,6,2.53
331.02,271.86,6,5.32
39.2,288.07,3,4.02
307.59,187.4,0,1.96
30.7,289.72,3,4.08
51.24,278.58,6,4.41
196.71,274.17,9,4.13
239.88,198.95,9,6.01
246.35,223.19,0,3.12
14.67,193.98,0,2.23
356.82,165.97,6,1.69
310.89,154.2,9,1.39
252.46,166.04,6,2.4
88.5,246.12,3,5.02
67.5,271.86,9,4.57
264.19,240.21,9,5.89
10.26,255.19,6,6.48
263.05,165.41,6,3.13
143.27,188.17,6,6.53
253.8,268.92,9,4.75
350.94,205.75,3,3.93
321.21,257.01,6,6.44
197.01,166.32,0,1.31
273.89,185.3,6,5.86
1.14,167.23,9,2.51
131.72,156.72,9,1.55
390.39,273.96,9,4.24
394.67,239.43,6,9.07
267.79,263.11,0,3.66
378.91,205.26,6,9.86
214.15,254.77,9,5.34
232.5,198.81,0,2.24
387.73,277.64,3,4.23
345.86,224.74,3,5.79
273.69,152.66,6,0.65
145.23,196.01,6,8.88
256.84,283.49,9,3.13
386.01,200.22,6,9.89
371.81,200.08,6,10.34
217.8,253.79,0,3.98
393.41,175.84,9,3.12
81.61,282.58,6,4.77
318.97,230.26,6,9.52
183.33,231.34,3,5.96
278.81,168.63,0,1.62
362.82,294.22,3,3.89
116.59,235.65,9,5.71
195.85,228.49,3,5.95
292.6,251,3,4.52
247.84,284.61,6,4.24
149,238.24,3,5.34
23.06,169.75,9,2.47
213.45,222.56,9,6.65
267.94,155.81,9,1.55
179.44,284.05,6,3.89
232.24,208.69,6,11.59
159.07,256.63,3,4.74
120.48,155.25,9,1.49
111.46,160.44,6,1.59
126.16,274.31,6,4.55
200.14,218.13,3,5.17
163.76,213.94,0,2.96
237.72,209.6,9,7.32
344.67,297.97,3,4.07
275.46,186.91,9,4.55
195.76,284.33,9,3.14
170.43,271.37,0,2.91
240.62,179.49,3,1.83
243.1,201.25,3,3.37
178.22,167.26,3,1.36
194.61,286.36,9,2.81
20.23,257.3,3,4.65
66.3,200.73,3,3.14
92.69,182.43,9,4.02
145.45,159.66,0,1.22
389.57,214.85,9,7.09
355.46,152.48,3,0.96
370.23,206.52,0,2.55
249.05,221.81,3,5.43
245.26,281.04,9,3.54
40.22,173.95,9,2.91
161.08,272.46,3,4.2
145.87,249.24,9,5.67
56.03,168.35,6,0.79
147.09,165.62,0,1.19
143.69,246.51,0,3.8
344.47,231.17,9,5.88
25.08,154.58,3,1.1
205.6,189.92,6,7.39
242.04,285.59,3,4.12
33.88,245.82,3,5.09
209.73,257.43,9,5.29
3.03,256.1,0,3.68
132.63,174.91,3,1.58
356.2,155.04,9,1.46
127.59,176.26,0,1.61
21.65,232.01,9,5.92
21.11,244.62,3,5.13
320.14,262.55,6,6.94
216.52,241.26,6,8.25
214.33,263.95,6,6.64
186.52,205.23,3,3.88
180.55,179.06,9,3.85
37.41,156.16,9,1.81
358.53,212.82,0,2.79
304.41,237.12,0,3.42
293.25,245.53,6,8.66
13.28,240.21,0,3.5
81.3,182.15,9,4.1
52,239.92,9,5.67
11.96,181.45,9,3.96
282.59,240.98,0,3.67
356.46,183.13,0,2.03
206.52,171.43,0,1.67
313.32,253.1,3,4.87
99.54,161.98,9,1.81
352.28,271.93,9,4.63
309.64,282.58,9,3.35
76.92,191.88,0,2.11
347.17,250.08,0,3.97
35.48,192.23,0,2.3
203.34,281.46,0,2.52
246.88,280.48,9,3.41
156.14,190.27,9,4.93
230.11,228.23,9,6.09
0.26,230.89,3,6.1
24.11,256.45,0,3.8
286.42,237.27,3,5.4
102.54,190.41,9,5.08
232.97,278.3,0,2.76
37.56,250.92,6,7.97
274.81,155.93,3,0.95
96.06,190.97,0,2.15
9.1,213.45,9,7.13
84.85,207.15,9,6.92
290.29,185.65,6,5.86
77.13,231.59,9,6
37.2,284.82,6,4.31
189.58,191.67,6,7.57
153.29,284.32,3,3.9
152.38,284.02,3,4.06
162.64,267.73,3,4.3
238.09,280.34,3,4.04
154.04,167.58,0,1.51
39.78,212.19,6,11.6
395.78,226.91,3,5.81
115.27,296.62,3,3.94
213.18,262.9,0,3.44
225.57,267.21,3,4.13
175.04,274.45,6,5.18
94.54,170.24,9,2.54
160.71,252.67,9,5.4
222.82,249.8,3,4.97
243.25,203.37,9,6.68
315.9,281.53,9,3.55
121.31,270.6,6,5.83
244.74,151.4,0,1
124.75,161.18,3,1.31
315.88,242.94,6,8.33
301.09,230.89,6,10.49
236.33,275.01,9,4.26
65.06,279.96,3,4.15
28.41,222.79,3,5.47
189.67,173.67,0,1.65
183.17,244.77,3,5.02
389.68,162.68,3,1.24
208.07,188.52,6,7.06
101.21,263.68,3,4.45
26.28,210.16,0,2.77
62.53,260.98,3,4.48
151.99,271.19,3,4.6
344.95,190.2,0,2.19
141.3,276.2,6,4.75
357.07,213.38,6,11.36
103.3,190.55,0,2.23
385.45,167.37,6,3.14
80.74,250.71,0,4.01
337.46,167.48,3,1.37
306.22,176.49,3,1.58
252.46,166.04,0,1.43
212.85,194.33,6,8.28
346.43,185.93,6,5.9
263.57,211.42,0,2.76
264.12,276.76,6,4.83
398.75,209.32,0,2.93
192.2,239.22,0,3.69
16.78,277.88,0,2.58
347.39,214.43,6,11.88
46.63,241.62,3,5.33
74.82,198.25,6,9.62
30.79,188.19,3,1.69
61.97,224.81,3,5.68
329.05,259.53,6,6.79
167.3,185.79,6,6.29
28.11,227.04,9,6.2
313.95,214.78,9,6.92
228.65,198.04,6,9.23
220.09,205.33,9,6.74
395.21,237.61,9,5.99
285.63,241.47,6,8.61
163.26,190.37,3,1.95
273.25,281.25,9,3.35
327.11,280.97,0,2.45
12.15,251.83,6,7.56
176.08,286.29,0,2.39
123.67,246.16,9,5.64
19.48,287.99,3,4.01
24.81,277.79,3,4.29
357.4,211.07,9,7.44
175.65,201.69,6,10.93
360.1,197.2,9,6.01
204.6,286.57,9,2.82
298.18,195.73,0,2.16
240.21,216.53,6,11.19
16.63,249.59,0,3.95
265.47,217.93,0,2.91
103.18,162.89,6,1.56
355.25,171.29,9,2.59
116.86,151.54,0,0.86
67.69,262.62,9,4.84
157.79,273.89,6,5.51
202.2,225.41,3,5.7
335.03,155.32,9,1.51
263.26,249.05,3,4.86
337.74,273.33,6,5.64
160.6,282.44,6,4.84
317.61,202.88,0,2.75
148.69,252.11,9,5.36
291.59,180.62,3,1.67
84.98,239.82,3,5.47
319.42,280.97,9,3.43
162.52,269.76,9,4.82
91.78,281.67,9,3.57
72.71,249.27,3,4.89
87.48,229.24,3,5.94
114.04,196.85,6,9.63
4.84,275.99,0,2.76
377.62,220.88,0,3.18
275.72,275.31,3,4.2
12.7,220.54,3,5.16
348.39,241.4,0,3.57
154.76,232.15,9,6.03
149.3,254.42,6,8.26
91.7,204.35,0,2.46
293.09,193.22,3,2.26
180.88,249.31,0,4.13
321.2,280.64,3,4.12
199.25,275.24,3,4.28
360.28,244.97,6,7.87
357.82,214.57,0,2.83
93.18,223.26,6,11.19
121.17,163.28,3,1.48
97.33,235.44,9,5.85
266.61,286.34,3,3.98
121.04,193.42,9,5.38
160.58,279.66,3,4.19
142.2,284.68,6,4.89
322.4,258.27,6,6.06
270.59,285.45,0,2.65
199.02,174.61,3,1.63
350.66,188.8,0,2.1
91.17,158.68,0,1.16
184.59,274.8,6,4.43
323.81,176.96,9,3.6
300.64,243.92,9,5.72
332.09,212.47,0,2.87
315.97,154.34,9,1.51
131.47,179.2,6,4.73
196.64,238.03,0,3.56
396.86,266.54,6,6.42
380.29,150.07,6,1.42
376.36,231.38,9,5.88
262.56,247.32,3,4.93
398.65,187.26,6,6.66
394.91,186.28,6,6.49
26.94,233.34,6,9.73
13.73,196.15,9,5.75
100.91,275.29,9,4.21
92.64,264.93,9,4.88
193.63,163.58,3,1.25
308,170.73,6,3.28
377.91,187.47,6,6.77
271.45,250.99,9,5.45
163.1,247.17,3,4.96
33.12,217.23,6,11.6
16.78,277.88,6,4.47
26.79,205.68,3,3.85
2.02,164.57,0,1.36
257.69,205.26,9,6.79
387.23,238.77,3,5.32
365.52,289.16,9,2.52
172.36,247.77,0,3.78
323.81,228.65,0,3.05
285.58,153.08,3,1.09
104.28,179.76,9,3.57
384.48,175.63,6,3.95
122.24,283.77,0,2.62
156.8,210.02,9,7.39
383.17,166.28,3,1.38
383.12,163.88,3,1.42
236.96,229.77,0,3.26
399.77,252.53,6,6.91
38.21,259.74,0,3.56
291.74,218.98,9,6.57
282.5,180.68,6,4.17
81.73,203.43,3,3.56
11.46,256.1,3,4.58
230.52,206.17,0,2.59
266.55,156.53,3,1.2
275.55,281.67,6,5.34
231.68,189.36,9,4.69
296.44,221.23,9,6.49
381.02,192.44,9,5.37
148.59,227.06,3,5.79
208.07,188.52,0,2.06
371.88,157.84,0,1.08
390.92,169.28,3,1.41
284.83,275.5,9,4.21
52.5,237.26,0,3.49
163.74,268.08,9,4.71
358.71,196.99,6,8.08
184.59,274.8,0,2.66
134.88,202.98,3,3.42
362.54,181.73,0,1.9
43.22,274.26,3,4.25
165.85,209.18,6,11.38
65.93,280.76,6,5.46
267.04,253.3,0,3.9
383.03,190.75,3,2.04
342.6,174.58,0,1.79
348.85,205.68,0,2.68
244.25,198.67,6,9.34
347.26,251.13,6,7.56
15.05,222.77,9,6.4
217.06,170.1,0,1.56
228.35,229.01,3,5.95
312.21,259.39,6,5.23
88.32,153.71,9,1.32
157.28,178.59,3,1.57
0.05,154.2,3,1.02
108.16,155.18,3,1.06
178.36,234.53,0,3.32
375.93,202.6,0,2.34
219.95,257.23,3,4.59
371.54,265.93,3,4.45
112.42,234.57,3,5.65
98.84,242.45,0,3.7
18.94,192.79,9,5.38
112.39,184.11,0,1.82
151.64,274.8,9,4.21
339.68,220.53,0,3.03
158.62,183.39,3,1.77
107.57,259.53,9,4.92
136.19,185.79,9,4.47
268.76,211.7,6,11.03
125.53,210.03,3,4.6
335.94,259.11,0,3.69
273.32,234.46,0,3.31
319.8,196.5,9,5.75
254.18,261.15,9,5.07
246.34,174.16,0,1.65
64.97,247.91,9,5.6
43.23,183.2,9,4.27
112.4,151.43,3,0.89
89.72,246.86,9,5.58
398.53,243.36,6,9.09
248.56,187.26,9,4.57
396.79,263.38,3,4.45
304.34,212.13,3,4.62
204.3,250.22,9,5.49
260.17,230.75,9,5.94
32.09,197.06,6,8.96
363.58,187.54,9,4.67
22.63,185.72,3,1.79
46.55,266.82,6,6.17
219.72,190.13,9,5
44.82,197.34,0,2.21
293.08,185.12,3,1.67
190.18,249.17,9,5.52
88.34,173.11,3,1.6
160.34,250.01,9,5.7
8.99,214.78,0,2.67
177.21,273.81,3,4.3
130.07,155.95,6,1.01
134.76,242.8,6,7.44
255.65,250.01,6,7.39
220.21,297.52,3,3.98
96.28,279.21,6,4.44
314.76,274.24,6,4.84
183.33,239.78,9,5.71
219.85,153.08,9,1.33
185.01,193.84,6,7.87
197.53,156,3,1.13
47.95,159.24,0,1.02
315.72,198.1,3,3.06
267.23,212.61,0,2.9
29.11,180.54,0,1.98
396.72,282.3,0,2.51
83.4,266.68,0,3.07
16.06,263.23,3,4.62
273.69,270.88,9,4.48
135.99,237.64,3,5.6
354.83,163.87,6,1.81
54.18,255.43,3,4.59
325.83,201.2,6,9.52
227.32,165.48,0,1.15
85.98,218.14,0,2.84
82.84,151.54,9,1.33
216.65,214.92,6,11.53
176.8,197.83,9,5.95
278.99,230.68,6,9.69
54.64,158.85,3,1.34
351.45,230.19,0,3.21
189.69,221.79,0,3.04
74.63,196.78,6,7.75
241.4,285.38,6,4.7
73.81,193.42,6,7.87
115.9,157.7,6,0.34
108.92,215.48,6,11.08
280.99,168.7,6,1.76
165.93,186.84,6,5.77
263.74,274.94,0,2.81
328.21,278.02,9,3.93
324.75,268.15,9,4.72
135.23,279.74,3,4.34
40.71,196.5,0,2.22
10.17,156.86,0,1.04
319.97,211.91,0,2.82
277.88,219.4,0,2.73
145.47,171.99,9,2.64
28.68,261.92,9,4.98
158.62,190.06,0,2.13
394.96,273.05,9,4.45
73.14,229.31,3,6.07
309.86,276.41,0,2.59
299.23,278.37,6,5.14
370.87,264.44,6,5.79
181.39,167.16,9,2.25
383.45,283,9,3.35
85.4,281.04,6,4.78
219.04,241.89,0,3.81
387.95,182.99,0,1.66
314.54,225.64,6,10.44
62.41,150.28,6,1.36
32.24,289.02,0,2.29
382.67,289.09,9,2.7
123.51,178.01,9,3.45
349.72,253.58,9,5.44
26.59,208,3,4.33
300.76,289.51,9,2.67
205.27,204.28,9,6.68
378.87,237.4,9,5.89
2.09,283.14,0,2.44
113.71,153.75,3,1.13
345.33,254.98,6,7.21
73.38,205,3,3.66
103.82,168.38,3,1.43
114.36,279.56,6,4.62
91.29,163.43,3,1.61
74.34,222.28,9,6.52
118.12,151.28,3,1.06
369.88,162.75,0,1.14
231.99,285.17,6,4.15
192.39,284.96,0,2.37
215.75,276.62,9,3.93
398.95,165.13,9,2.1
323.74,168.91,6,3.23
85.17,285.52,9,3.11
201.37,192.58,6,7.17
230.61,215.76,0,2.79
342.18,173.53,6,2.98
158.79,266.12,0,3.09
160.08,253.03,3,4.56
194.45,231.57,3,5.93
141.22,174.09,3,1.62
344.29,158.89,0,1.05
142.44,196.22,6,8.65
395.37,261.58,3,4.33
78.32,175.77,6,3.92
108.3,211,6,10.86
70.61,226.69,6,10.46
205.41,207.78,9,7.06
326.79,222.41,3,5.57
214.96,281.18,9,3.54
340.38,229.49,9,6.09
299.05,152.59,9,1.35
72.38,154.97,9,1.53
93.5,274.94,3,4.22
60.17,186.35,6,6.84
19.35,284.54,3,4.15
26.14,222.7,6,11.03
161.66,253.16,6,7.13
68.21,152.17,6,2.27
163.58,172.13,6,3.44
85.23,271.16,9,4.63
262.84,176.05,9,3.35
283.5,265.49,6,7.16
45.39,162.68,0,1.16
254.67,275.08,6,5.01
268.26,282.93,9,3.34
372.85,205.75,6,10.74
33.4,181.45,6,4.69
48.55,277.53,6,5.07
66.82,248.05,6,7.22
387.97,186.56,0,1.93
50.07,237.75,6,9.28
198.06,229.63,6,9.53
182.43,151.68,6,1.1
137.35,237.94,3,5.53
157.89,179.27,9,3.89
86.27,252.11,0,4.02
94.33,196.92,9,5.84
365.72,215.62,0,2.91
326.85,182.64,3,1.7
7.29,255.96,0,3.52
317.53,261.73,3,4.63
226.81,252.95,0,3.97
253.39,214.99,6,12.12
367.76,266.4,6,4.72
265.53,266.83,3,4.3
58.77,224.59,3,5.49
343.21,214.38,3,4.77
357.56,203.09,0,2.41
93.33,265.03,3,4.41
209.9,151.19,6,1.56
148.42,244.34,0,3.87
91.98,236.21,0,3.31
371.1,227.25,6,10.37
273.68,203.3,9,6.46
241.38,254.63,6,7.72
60.3,255.26,9,5.16
281.87,250.64,0,4.13
111.14,186.47,3,1.68
70.61,226.69,0,3.11
58.79,164.93,3,1.26
307.22,169.26,9,2.39
78.39,153.99,0,0.91
93.86,264.51,6,5.75
264.13,277.18,9,4.04
22.52,182.08,0,1.81
111.35,223.69,3,5.43
391.99,266.54,9,4.61
55.86,250.43,0,3.96
223.18,259.25,9,5.12
72.75,191.46,0,2.19
295.38,253.02,6,6.83
134.05,231.38,6,9.23
256.97,174.86,6,3.17
35.76,225.71,6,10.44
83.42,187.47,9,4.89
52.97,179.97,9,3.76
389.2,165.83,0,1.36
345.24,155.6,6,1.14
20.57,218.42,6,10.02
80.61,262.63,3,4.43
358.27,203.35,3,3.59
0,176.56,3,1.6
372.85,205.75,0,2.57
130.13,154.13,6,1.75
108.56,153.6,3,1.12
92,222.28,0,3.05
123.12,198.17,3,2.88
327.21,158.82,6,0.85
95.45,205.89,9,6.93
159.2,163.21,3,1.33
70.83,290.4,3,3.98
163.58,172.13,0,1.63
356.16,208.98,3,4.45
244.58,205.54,6,10.09
274.23,237.82,0,3.64
44.04,254.21,9,5.37
239.43,285.29,3,3.92
290.38,163.73,6,1.32
130.16,165.13,6,1.55
61.48,219.93,3,5.1
281.02,156.83,3,1.27
167.07,247.7,3,4.92
142.7,154.41,0,0.83
65.21,255.05,3,4.57
70.97,280.41,6,5.3
354.85,267.73,9,4.72
371.23,278.72,6,4.96
61.93,189.77,3,1.86
67.21,260.03,0,3.37
77.17,188.66,9,4.99
365.76,216.74,6,12.02
312.09,295.57,3,4.03
52.03,233.97,0,3.5
44.77,248.82,6,7.92
244.09,289.51,0,2.34
307.03,157.95,3,1.39
369.1,268.08,6,5.41
51.36,261.5,0,3.47
305.44,214.29,0,2.76
96.48,272.77,6,4.39
265.52,248.33,0,4.03
206.34,159.83,3,1.25
56.29,159.87,9,1.72
240.72,279.51,3,4.1
269.2,240.98,9,5.79
32.42,229.28,0,3.34
373.99,168.91,9,2.45
356.11,184.25,6,6.36
34.79,228.86,0,3.2
196.15,163.1,9,2.05
374.89,232.99,6,10.19
315.8,235.51,9,5.75
269.01,179.27,0,1.9
155.49,271.34,3,4.2
229.58,255.95,3,4.7
157.55,252.25,6,7.16
7.53,252.46,9,5.34
144.52,279.28,9,3.73
91.98,236.21,6,8.61
26.6,200.57,0,2.28
216.36,202.08,3,3.49
335.92,287.41,6,4.98
380.16,184.18,0,2.09
243.16,255.61,6,6.89
159.15,232.77,3,5.82
119.92,162.53,3,1.5
42.15,156.98,3,1.14
265.22,177.54,3,1.61
175.45,244.69,0,3.84
178.18,198.11,9,5.79
231.86,182.57,9,3.97
220.22,244.83,9,5.72
103.83,212.66,3,4.72
226.92,257.99,6,7.41
78.53,161.56,9,1.93
358.06,209.81,9,7.45
398.53,243.36,0,3.88
1.29,284.54,6,5.15
144.93,181.87,9,3.95
133.96,202.74,6,10.82
50.17,209.46,9,7.09
306.39,223.47,9,6.39
13.01,237.33,6,8.76
154.98,249.66,9,5.33
71.61,291.07,3,4.1
348.61,233.69,6,9.85
128.94,199.44,0,2.26
17.37,258.41,6,6.92
113.51,195.94,6,8.88
316.63,179.41,0,1.99
254.52,281.81,6,4.24
299.3,193.35,0,2.22
128.02,178.29,6,4.23
54.09,293.7,3,3.95
328.88,194.19,9,5.7
310.86,181.52,6,5.2
157,238.66,6,8.92
387.96,250.85,6,7.73
50.73,279.81,3,4.13
380.57,188.34,3,1.77
303.49,209.2,3,4.23
68.37,161.28,9,2
376.88,273.75,9,4.1
257.8,288.74,9,2.72
270.18,293.77,3,3.92
349.14,273.29,3,4.3
200.36,261.29,9,5.1
349.56,216.39,0,2.86
139.68,163.66,6,1.94
285.58,211.98,9,7.14
13.41,203.51,0,2.62
39.37,196.29,9,5.87
