Concentration,Temperature,Dose(mol%),Response
99.5,362.04,12,34.15
141.0,134.76,1,16.64
135.92,341.24,12,44.99
88.12,72.49,1,6.68
84.53,326.83,3,84.78
198.42,321.06,1,24.04
191.33,221.69,1,24.31
31.48,146.32,12,20.38
46.36,6.18,3,59.25
143.8,180.2,12,46.18
107.03,365.72,3,95.67
113.77,331.33,12,39.79
25.09,225.87,12,19.76
125.06,226.29,3,100.3
129.96,157.09,0,7.12
146.51,387.93,1,18.79
70.7,119.76,0,3.23
71.49,331.39,0,2.89
55.9,349.48,0,1.98
62.21,267.28,12,26.68
122.79,350.98,1,13.82
90.75,375.93,3,84.11
138.98,198.75,12,45.2
31.04,394.75,3,46.27
186.34,245.18,3,154.53
30.08,18.09,3,47.33
77.18,205.12,12,29.4
192.12,130.08,0,9.86
153.43,162.76,3,122.22
25.7,240.45,1,1.6
175.4,302.47,12,49.59
147.04,347.02,12,47.03
199.56,300.55,3,168.27
115.52,111.14,0,6.03
177.68,166.46,3,143.82
66.06,364.51,12,27.09
139.51,170.56,12,44.67
174.96,3.72,12,48.49
64.04,394.4,1,4.66
100.99,344.71,1,9.73
147.3,337.95,0,8.55
32.88,144.53,12,21.34
55.82,263.48,3,69.74
57.48,7.29,1,3.99
63.61,394.66,3,72.01
67.98,319.61,12,27.85
125.76,99.35,0,6.6
158.94,124.52,1,20.54
45.31,361.16,0,1.38
132.24,356.34,0,6.85
75.78,161.48,12,29.27
114.29,114.3,0,6.29
182.93,370.43,12,49.64
182.84,393.43,0,9.86
91.36,357.56,1,7.56
178.9,43.89,3,150.13
119.46,377.89,0,6.21
165.42,394.53,12,48.81
154.3,304.91,1,20.17
191.42,2.09,3,158.75
88.12,260.94,12,32.2
152.99,25.56,12,47.9
53.28,166.21,12,25.08
81.9,259.67,12,30.04
162.97,9.46,3,127.74
108.43,184.69,0,5.98
188.18,42.35,0,9.87
172.07,300.31,0,9.07
101.25,108.3,1,9.06
67.72,380.16,1,5.73
41.55,96.74,3,54.19
73.15,303.39,12,28.71
39.97,27.86,0,1.78
133.29,383.95,0,6.84
119.02,239.07,0,6.03
92.32,328.5,1,9.03
113.42,88.48,1,12.6
74.9,177.62,12,28.76
140.65,219.58,12,45.47
154.13,267.04,3,123.42
48.02,207.33,1,2.3
172.95,69.94,1,22.27
87.16,309.26,0,3.86
114.64,44.92,12,38.94
159.12,286.46,3,127.76
100.29,384.47,12,35.46
74.02,281.63,3,78.07
35.07,348.58,3,51.87
94.6,341.87,12,34.4
169.62,105.25,3,138.01
42.16,164.46,12,22.35
36.21,2.78,3,52.51
122.7,342.83,12,41.26
56.69,118.02,0,1.96
171.2,152.25,1,21.67
140.91,56.34,12,45.37
194.4,218.58,0,10.24
189.32,203.34,1,23.64
186.78,354.77,3,156.72
50.13,132.54,0,2.07
112.46,17.59,12,38.57
26.14,84.94,1,0.89
88.91,298.98,0,4.59
41.72,358.89,3,59.1
119.46,379.98,3,99.93
172.6,369.1,3,139.67
115.61,110.53,0,6.15
171.55,36.9,12,49.07
99.32,238.15,1,8.84
53.28,123.75,0,2.77
97.4,138.78,3,89.5
131.37,88.31,3,107.08
122.52,181.65,12,41.65
160.52,17.37,3,130.05
91.88,384.18,12,32.23
121.47,330.5,12,41.04
85.84,207.61,0,4.45
61.07,380.24,1,3.37
30.25,292.44,12,21.29
31.48,282.74,1,0.78
178.03,304.12,1,22.62
169.53,121.25,1,21.77
169.36,399.82,0,9.15
30.87,103.45,0,1.55
120.69,205.08,1,13.45
78.23,215.23,12,30.54
77.09,310.14,0,2.81
125.15,107.54,0,6.8
193.08,378.7,0,10.66
81.55,382.72,0,3.64
36.82,356.1,0,1.55
198.16,20.23,0,10.36
194.66,68.37,0,10.03
33.4,231.04,0,1.84
150.19,181.9,3,118.8
48.81,346.83,1,3.43
148.79,212.47,1,18.93
164.63,257.9,0,9.4
196.76,335.92,1,24.81
170.94,372.24,3,137.93
142.4,68.96,12,45.73
111.67,367.17,12,38.19
53.36,329.52,0,2.27
124.54,288.01,12,41.03
197.99,103.72,3,168.23
64.31,33.4,1,3.97
197.2,144.89,3,164.9
73.94,248.12,1,5.37
89.96,192.9,12,32.25
134.17,81.18,12,44.51
58.0,106.23,12,25.63
195.27,206.91,3,162.53
42.07,139.68,3,58.48
62.91,40.45,1,4.7
25.79,283.23,1,2.11
160.69,380.56,1,20.6
151.59,277.05,1,19.41
175.05,196.52,12,50.1
50.83,208.9,1,2.65
149.22,373.55,1,19.59
87.42,164.74,1,7.64
141.08,321.2,0,7.72
155.53,242.74,0,8.51
87.59,371.81,3,87.26
48.64,323.74,1,3.56
160.78,240.64,3,128.37
124.8,257.18,12,42.37
193.87,48.16,0,10.17
199.56,182.04,12,51.43
113.94,72.23,3,95.16
174.7,60.81,1,22.72
176.8,52.28,3,146.4
191.42,201.35,12,50.56
70.61,152.36,1,5.48
29.2,217.42,0,1.46
44.43,37.47,1,3.0
181.35,230.74,0,9.86
48.46,94.97,0,1.93
110.09,314.48,0,5.23
172.25,309.11,0,9.46
161.83,109.92,1,21.22
142.13,335.34,12,46.48
123.75,124.35,12,41.62
99.32,143.43,0,4.74
158.5,58.91,0,8.39
33.32,126.9,12,20.8
132.5,393.59,3,107.33
35.77,44.02,3,49.1
144.85,95.02,3,112.52
182.67,295.0,1,23.0
31.13,308.9,3,48.36
110.62,263.5,12,37.36
80.24,358.08,3,83.99
42.25,149.32,12,22.19
51.61,372.7,0,2.8
93.46,100.72,3,89.1
136.97,199.56,3,108.0
198.77,372.16,0,9.58
79.36,83.74,3,81.39
99.67,359.22,1,9.75
109.92,265.47,1,11.29
160.96,78.07,12,49.42
139.59,185.7,0,7.62
174.0,124.73,3,143.27
29.64,378.28,0,1.48
140.3,292.64,3,110.4
176.36,246.09,3,148.04
27.45,236.97,3,43.05
27.19,182.66,12,20.91
25.96,387.96,3,41.95
120.16,6.16,0,6.69
196.94,228.75,3,166.05
118.85,16.84,1,13.08
117.1,375.63,3,98.46
96.35,207.54,3,86.98
95.39,169.65,1,8.34
81.12,128.83,3,84.76
132.24,255.41,1,15.74
176.19,398.68,1,22.73
39.01,260.46,0,1.44
147.21,172.36,1,18.25
79.28,73.81,3,78.81
166.47,222.71,0,8.85
188.97,14.79,12,51.03
98.71,71.21,1,8.46
173.47,384.6,0,9.29
133.55,166.31,0,7.23
188.97,336.28,3,158.53
131.19,317.92,1,16.04
120.86,290.65,12,40.89
93.02,66.3,0,4.41
40.76,136.43,1,2.81
188.88,62.73,0,9.67
81.9,34.77,1,7.59
43.65,346.8,12,22.67
92.58,322.79,0,4.4
91.88,53.71,0,4.49
195.27,6.64,0,10.42
164.02,86.05,12,49.26
106.85,108.92,3,93.19
103.35,81.99,3,94.37
114.29,278.97,3,97.62
71.84,377.91,1,5.37
197.2,144.89,1,24.52
87.51,0.54,0,4.24
79.89,298.99,3,80.49
131.8,380.35,3,102.52
194.92,133.7,1,24.16
178.46,96.48,1,21.66
35.51,322.98,1,2.66
141.35,199.28,3,112.97
133.73,308.37,3,105.12
51.0,86.33,3,66.13
53.19,264.08,3,65.02
36.21,369.51,12,21.3
132.42,141.71,0,7.53
84.09,114.96,0,3.32
114.12,366.2,1,11.92
100.38,181.32,3,89.09
132.59,163.73,1,16.98
93.11,121.26,12,33.8
112.54,269.08,0,5.23
74.99,313.46,1,6.54
104.93,386.74,0,5.51
159.64,174.27,12,49.16
68.86,305.81,0,3.31
56.43,56.85,0,2.53
124.01,198.35,1,14.31
115.7,172.81,0,5.92
148.52,233.57,12,46.65
127.6,252.73,1,14.89
165.6,330.28,0,8.87
103.53,116.52,12,36.02
111.32,20.67,0,5.68
98.27,17.96,0,5.32
31.65,377.79,12,21.62
54.59,48.41,0,2.33
71.14,109.36,1,5.29
188.09,218.01,1,22.74
55.2,246.34,3,68.17
167.96,318.18,1,21.95
126.9,22.47,0,6.44
36.47,322.66,12,21.94
99.06,216.85,12,35.0
99.76,82.06,3,94.71
50.56,329.04,3,64.11
108.34,70.15,3,92.17
155.7,353.17,0,8.43
135.83,157.0,3,107.58
148.52,44.77,3,118.05
77.53,251.82,0,2.95
185.73,51.24,1,22.79
111.84,367.37,12,38.17
196.5,15.76,0,10.22
73.76,355.91,12,29.0
