Concentration,Temperature,Dose (mol%),Response
77.99,113.36,5,66.75
32.04,229.63,5,65.67
265.41,159.84,5,72.95
30.79,115.83,5,66.56
81.73,105.14,5,63.96
32.63,248.99,5,67.34
216.55,211.73,5,65.27
301.55,158.94,5,73.09
293.2,162.88,5,72.1
252.1,92.76,5,62.95
3.62,55.39,5,60.75
249.1,180.78,5,68.6
83.67,51,5,59.84
198.68,30.52,5,57.49
219.54,77,5,61.12
68.28,149.37,5,74.33
130.66,121.24,5,67.81
171.58,103,5,64.03
11.14,199.57,5,63.99
39.37,235.71,5,65.99
239.07,84.2,5,61.13
313.28,44.47,5,59.47
251.37,106.04,5,64.6
134.24,71.6,5,61.27
96.79,51.68,5,59.87
164.52,190.68,5,65.98
88.18,175.26,5,69.27
57.2,144.65,5,72.85
362.44,27.59,5,57.46
388.38,223.77,5,66.51
1.53,32.09,5,57.87
17.96,57.53,5,59.86
396.53,46.16,5,58.99
252.57,103.9,5,64.46
305.48,229.18,5,65.62
226.31,152.98,5,73.73
0,64.84,5,60.65
342.61,71.82,5,61.9
295.55,165.13,5,71.06
195.4,129.68,5,69.84
248.97,47.06,5,59.03
32.46,90.17,5,62.92
309.11,152.64,5,74.3
241.74,229.06,5,66.19
221.39,242.68,5,67.88
93.99,73.74,5,61.61
173.09,36.26,5,58.04
50.22,211.17,5,64.84
118.62,69.35,5,61.55
10.08,243.13,5,67.13
200.24,49.76,5,60.81
323.97,213.53,5,64.65
170.99,193.5,5,66.03
175.94,225.8,5,65.59
308.45,63.72,5,60.35
148.59,140.6,5,72.8
91.55,124.95,5,69.28
216.12,176.95,5,68.49
37.05,87.13,5,62.73
350.94,108.63,5,65.08
18,198.45,5,65.23
163.26,85.56,5,62.54
376.68,126.98,5,68.79
33.65,181.9,5,67.8
271.13,37.94,5,59.01
75.09,118.31,5,67.25
296.91,243.02,5,66.82
278.46,115.95,5,67.45
161.28,172.45,5,70.05
232.28,138.01,5,72.47
367.3,59.33,5,60.35
238.76,148.81,5,75.21
256.69,78.91,5,62.15
217.68,185.17,5,66.84
349.63,146,5,73.79
99.35,89.16,5,62.29
370.84,94.56,5,62.88
391.29,238.52,5,67.11
245.59,167.38,5,70.47
35.72,33.78,5,58.63
219.44,240.1,5,67.52
49.17,28.6,5,58.23
23.98,198,5,64.17
335.29,141.27,5,73.23
225.57,200.81,5,62.84
15.03,64.51,5,61.37
207.18,43.35,5,58.81
269.65,47.85,5,60.05
228.35,143.52,5,73.58
2.55,178.53,5,69.32
220.21,246.29,5,66.68
161.44,80.72,5,61.98
177.64,207.79,5,65.4
250.27,246.17,5,66.82
69.76,245.84,5,67.01
329.9,93.66,5,62.9
175.06,73.62,5,61.11
231.12,192.82,5,66.86
211.86,49.54,5,59.39
237.51,242.23,5,65.92
77.37,189.89,5,66.52
325.65,95.91,5,61.88
48.16,180.44,5,68.06
27.38,171.44,5,70.78
110.47,31.64,5,58.93
315.02,58.54,5,60.64
141.89,217.47,5,65.6
356.75,33.22,5,59.33
309.26,43.23,5,59.79
322.29,168.4,5,71.56
53.83,204.3,5,64.71
322.26,186.29,5,66.72
205.78,206.44,5,64.83
27.38,91.52,5,62.2
174.65,60.57,5,60.71
208.07,30.07,5,57.98
24.58,218.48,5,64.89
202.28,231.09,5,65.98
10.08,73.06,5,61.55
335.4,90.4,5,62.15
150.93,33.55,5,58.61
270.18,240.66,5,66.05
11.46,184.15,5,67.16
56.13,112.79,5,66.16
63.49,241,5,66.22
333.83,157.03,5,73.42
270.33,173.46,5,69.74
237.14,130.47,5,70.67
143.13,28.38,5,57.92
83.02,147.8,5,74.45
151.99,206.78,5,66
226.64,163.33,5,73.17
107.42,134.63,5,71.09
183.33,147.01,5,74.47
239.62,82.85,5,61.57
103.44,199.46,5,64.07
136.38,201.38,5,64.34
228.64,228.73,5,65.48
210.19,202.05,5,63.44
221,29.95,5,57.59
8.37,214.77,5,64.65
258.58,43.91,5,59.14
96.16,59.1,5,60.58
269.6,136.43,5,71.85
173.61,87.47,5,61.96
83.33,241.56,5,67.53
259.73,93.32,5,61.93
96.12,207.12,5,64.21
140.21,110.21,5,65.54
20.67,74.3,5,60.43
322.04,90.51,5,62.68
50.38,195.86,5,64.4
346.44,84.32,5,61.98
132.88,63.49,5,60.69
220.95,220.4,5,64.7
265.22,66.31,5,60.76
383.12,45.82,5,59.75
220.46,150.61,5,76.07
302.05,222.42,5,65.6
283.78,185.39,5,66.23
225.63,58.77,5,59.84
231.34,239.19,5,66.54
147.34,118.65,5,66.97
383.03,86.12,5,62.8
291.58,205.09,5,64.21
170.09,64.39,5,60.78
64.58,242.46,5,66.31
355.97,194.96,5,64.54
389.23,135.08,5,70.63
183.2,44.7,5,59.73
79.6,79.25,5,60.81
229.58,183.93,5,67.76
383.05,206.22,5,64.23
158.05,38.84,5,58.22
266.59,92.42,5,62.68
328.2,226.93,5,65.72
363.21,221.41,5,65.4
241.41,180.1,5,68.07
200.61,158.38,5,73.63
40.55,79.59,5,60.93
74.45,62.26,5,60.04
363.29,113.69,5,66.25
78.33,46.84,5,59.54
214.22,96.7,5,62.82
313.5,78.01,5,60.38
353.31,217.81,5,65.49
357.64,61.24,5,60.01
2.75,159.62,5,72.87
226.03,54.94,5,60.81
136.53,198.67,5,64.06
239.43,227.94,5,64.92
40.76,32.54,5,59
238.09,220.51,5,64.7
137.09,204.19,5,64.47
200.11,200.93,5,64.5
268.59,79.03,5,61.54
331.38,222.65,5,65.29
161.1,240.21,5,66.73
134.98,187.08,5,67.17
271.88,189.33,5,66.28
155.69,124.84,5,68.78
152.21,72.5,5,61.04
359.17,213.42,5,65.61
157.83,188.09,5,66.63
283.51,110.99,5,66.21
386.01,83.42,5,62.27
170.45,186.07,5,67.47
8.77,94,5,62.04
307.43,197.21,5,64.68
112.13,225.58,5,64.78
234.23,211.62,5,64.19
318.67,75.99,5,61.65
133.45,107.17,5,64.82
81.05,85.11,5,61.68
326.79,133.62,5,71.79
329.45,169.52,5,70.31
230.79,220.74,5,66.1
287.33,54.38,5,59.93
235.03,85.22,5,62.04
34.04,133.95,5,71.13
380.57,52.01,5,59.4
107.8,117.18,5,67.66
166.31,102.89,5,63.15
378.84,72.27,5,62.18
140.49,147.12,5,74.52
5.54,249.89,5,66.91
386.74,66.08,5,60.54
125.55,140.03,5,72.6
47.48,164.57,5,71.61
297.15,91.18,5,62.83
186.52,107.84,5,65.01
313.39,223.21,5,65.76
169.33,130.92,5,70.86
125.34,32.99,5,59.3
347.36,183.37,5,68.41
64.67,54.15,5,60.33
53.53,30.74,5,58.19
231.32,47.29,5,59.51
239.78,226.25,5,65.73
41.03,98.16,5,63.8
132.63,62.37,5,60.53
123.39,177.96,5,68.94
368.31,91.75,5,62.62
167.26,181.57,5,67.72
330.37,227.6,5,66.61
149.38,172.9,5,69.97
364.24,150.05,5,75.1
57.63,138.23,5,72.62
16.77,174.25,5,69.2
153.74,72.95,5,60.71
386.12,200.36,5,64.77
13.06,170.54,5,70.9
208.58,91.41,5,62.46
114.25,245.27,5,68.29
324.06,247.41,5,67.41
300.31,152.41,5,75.28
119.75,135.87,5,71.03
205.54,69.8,5,60.93
396.79,195.07,5,64.99
218.57,74.07,5,62.09
146.27,46.61,5,59.55
90.43,186.52,5,67.11
120.42,94.11,5,63.83
115.78,193.05,5,65.62
293.09,89.83,5,62.44
93,135.98,5,72.39
332.95,186.18,5,67.47
134.88,104.46,5,63.43
172.49,166.6,5,71
161.72,40.87,5,59.71
193.61,177.74,5,69.09
139.53,25.23,5,58.34
46.63,162.43,5,72.42
9.6,235.37,5,65.92
70.76,207.57,5,64.91
163.76,63.16,5,60.26
16.11,224.11,5,65.72
87.49,197.89,5,64.72
167.33,79.36,5,61.73
65.08,54.83,5,59.36
148.38,67.32,5,61.26
81.39,108.4,5,64.38
328.95,139.02,5,72.02
201.92,74.41,5,61.27
142.81,55.5,5,59.32
23.14,45.71,5,59.27
20.8,130.69,5,70.08
227.82,52.46,5,59.23
160.75,129.79,5,71.09
158.62,75.09,5,61.67
107.54,92.08,5,62.34
254.55,116.96,5,67.51
140.33,168.17,5,70.46
233.25,213.64,5,65.43
111.14,79.7,5,61.32
42.14,101.54,5,63.73
391.41,71.71,5,60.74
91.47,55.73,5,60.05
92,190.57,5,65.77
335.66,230.87,5,65.86
304.06,188.66,5,66.78
392.47,53.14,5,59.25
138.14,71.49,5,61.74
89.07,180.89,5,68.35
30.72,172.11,5,70.13
7.25,105.48,5,64.87
14.41,59.89,5,60.22
335.26,129.23,5,69.74
157.28,67.88,5,60.56
35.95,201.15,5,63.93
293.78,72.84,5,61.87
239.74,235.93,5,66.81
294.61,84.88,5,61.96
173.39,109.64,5,64.83
3.35,111.11,5,65.31
337.68,177.63,5,68.65
291.59,70.92,5,61.12
219.55,206.67,5,64.31
216.36,103.11,5,64.04
348.77,220.62,5,65.71
390.8,86.68,5,62.3
233.28,130.35,5,69.77
64.09,181.34,5,67.73
5.16,205.88,5,65.17
141.93,243.25,5,66.64
144.19,191.7,5,65.64
298.98,45.49,5,58.83
312.09,243.36,5,66.76
112.65,155.57,5,72.53
338.82,44.13,5,58.83
156.98,57.87,5,59.9
245.32,88.14,5,63.25
59.7,188.88,5,66.82
126.15,236.16,5,65.89
246.84,210.83,5,64.81
337.95,120.56,5,67.67
370.48,55.62,5,60.62
32.64,199.35,5,64.76
144.56,141.38,5,72.69
31.71,221.19,5,65.85
121.17,66.76,5,61.03
199.25,212.86,5,65.04
275.45,106.15,5,63.62
73.38,107.5,5,63.95
300.7,112.46,5,65.87
6.04,83.3,5,61.94
82.83,62.59,5,60.99
130.12,120.11,5,68.07
227.19,165.81,5,71.94
56.49,143.41,5,73.67
396.61,241.45,5,66.61
29.16,26.69,5,57.83
57.14,104.58,5,64.98
237.26,126.3,5,69.5
365.22,247.75,5,67.07
117.34,201.94,5,64.26
269.91,126.64,5,70.03
141.18,77.34,5,61.38
171.87,247.52,5,67.33
58.79,47.4,5,58.92
108.65,160.74,5,72.29
111.46,143.75,5,73.16
156.84,152.3,5,74.7
263.8,180.22,5,69.27
33.09,137.33,5,71.67
328.56,106.83,5,64.81
206.51,224.34,5,66.31
55.99,239.87,5,66.46
73.78,229.96,5,65.84
350.99,88.82,5,61.75
321.58,29.84,5,58.17
253.75,55.84,5,59.57
304.23,148.36,5,74.65
183.08,36.37,5,58.55
359.35,163.56,5,71.33
376.2,218.71,5,64.99
24.82,231.2,5,66.35
166.6,37.04,5,58.89
155.49,207,5,64.04
281.82,80.94,5,61.63
228.85,247.86,5,66.39
234.77,124.16,5,68.53
88.04,110.09,5,65.67
42.16,94.67,5,62.76
12.19,149.49,5,75.18
228.11,242.8,5,65.82
153.12,116.06,5,66.41
131.29,141.72,5,72.28
315.57,33.1,5,58.52
323.36,169.41,5,71.21
190.94,168.06,5,71.33
383.25,175.15,5,69.54
144.43,189.11,5,67.04
252.91,79.14,5,61.13
222.71,145.21,5,73.62
262.7,81.95,5,61.5
41.78,164.23,5,71.59
221.89,234.47,5,66.47
246.17,248.87,5,67.15
269.24,191.13,5,65.89
164.32,235.03,5,66.62
61.56,188.77,5,65.59
70.09,60.01,5,60.88
134.11,133.28,5,71.09
184.69,70.59,5,61.35
222.82,174.7,5,70.33
113.82,210.61,5,65.93
15.57,59.78,5,60.22
218.63,50.44,5,59.73
273.73,234.02,5,65.92
156.74,104.91,5,64.29
277.98,243.7,5,66.45
72.47,180.67,5,67.95
257.58,225.91,5,64.83
271.02,41.66,5,59.37
219.26,199.91,5,63.91
198.5,245.16,5,65.64
279.86,129.11,5,69.23
33.83,131.03,5,70.77
13.47,119.1,5,68.36
183.58,89.72,5,61.21
173.76,87.69,5,61.96
330.62,164.01,5,72.74
229.22,178.08,5,68.82
329.79,176.61,5,69.61
385.34,155.68,5,74.9
33.41,187.31,5,66.88
159.13,57.19,5,60.07
284.85,205.54,5,64.09
73.14,143.97,5,74.14
358.14,92.31,5,62.27
61.48,129.9,5,69.45
22.67,189.44,5,65.71
252.96,209.25,5,64.77
6.5,203.63,5,64.03
50.4,142.06,5,73.94
262.81,163.44,5,71.76
75.17,115.72,5,66.88
271.01,126.75,5,69.52
256.39,213.98,5,64.62
125.55,160.52,5,72.71
264.67,111.33,5,66.6
25.6,93.55,5,63.32
68.73,249.21,5,67.55
27.76,201.04,5,64.43
389.52,185.06,5,67.11
32.91,138.68,5,72.94
388.27,80.49,5,61.27
263.26,173.57,5,69.84
339.22,56.18,5,59.78
378.39,232.78,5,66.6
389.23,65.3,5,60.85
246.05,149.94,5,74.89
341.51,51.56,5,58.76
173.43,87.02,5,62.06
195.86,235.14,5,66.67
23.83,228.95,5,66.54
188,48.41,5,59.82
122.89,181,5,68.83
356.15,200.59,5,64.02
18.74,31.53,5,58.6
274.05,96.02,5,63.5
376.59,245.72,5,66.89
57.02,234.24,5,66.18
90.71,229.4,5,64.69
0.59,65.86,5,60.92
114.98,81.84,5,61.55
249.08,156.13,5,74.87
179.62,151.18,5,75.33
324.99,208.35,5,64.93
197.13,161.87,5,72.05
106.2,154.55,5,72.92
289.84,151.51,5,75.48
37.77,204.41,5,63.08
54.64,38.28,5,59.46
41.31,165.58,5,70.79
207.23,249.32,5,67.31
282.65,83.75,5,61.59
36.83,82.74,5,61.4
155.06,34.12,5,58.79
239.72,127.99,5,69.86
229.72,139.58,5,72.34
301.7,67.77,5,60.43
195.76,140.82,5,72.29
22.75,214.99,5,65.04
1.75,34.45,5,58.23
292.09,213.76,5,65.59
81.87,62.03,5,60.78
28.93,25.68,5,58.83
216.7,108.85,5,64.76
170.56,199.8,5,63.63
254.38,127.88,5,69.64
249.5,123.26,5,68.22
348.57,75.76,5,61.86
27,80.15,5,61.67
295.18,191.58,5,66.21
367.81,57.3,5,60.45
345.2,131.7,5,70.59
122.57,248.42,5,67.16
291.35,178.98,5,68.4
138.03,153.99,5,73.57
46.88,104.35,5,64.35
240.72,219.27,5,64.89
387.73,216.46,5,65.23
233.09,208.24,5,64.53
160.81,204.98,5,63.93
52.39,198.11,5,63.83
54.18,183.14,5,67.33
177.21,210.72,5,64.93
190.53,61.81,5,60.85
71.7,74.75,5,60.28
306.61,112.12,5,66.22
194.45,147.35,5,74.48
65.76,162.32,5,71.7
126.1,209.03,5,64.34
121.17,44.92,5,60.05
158.1,173.8,5,69.73
242.26,104.24,5,63.24
285.22,34.68,5,59.1
218.77,236.94,5,65.92
244.04,244.15,5,66.63
333.13,76.44,5,60.91
153.11,230.75,5,65.8
299.46,31.08,5,58.92
80.61,193.95,5,65.06
365.52,97.37,5,62.07
356.34,101.2,5,64.16
271.85,49.87,5,58.72
352.06,37.72,5,60.08
111.35,135.53,5,71.04
328.39,163.22,5,72.57
193.82,137.44,5,72.27
312.15,44.58,5,59.44
268.46,112.91,5,65.43
295.17,91.3,5,61.99
20.17,200.48,5,63.89
92.95,27.03,5,57.68
65.21,72.61,5,61.66
212.52,176.16,5,69.84
115.55,57.08,5,59.16
87.16,203.18,5,64.22
335.6,73.17,5,61.74
16.06,194.85,5,65.87
165.27,173.35,5,69.56
0.8,100.3,5,63.62
259.13,28.49,5,59.16
12.7,130.8,5,69.75
101.31,106.27,5,63.83
58.77,136.88,5,71.35
252.37,49.09,5,59.45
108.78,116.51,5,67.06
312.15,61.69,5,61.03
235.78,88.03,5,62.35
203.94,150.16,5,75.4
348.21,103.79,5,63.65
271.85,202.61,5,63.79
300.47,158.83,5,72.57
334.33,63.38,5,60.68
352.68,95.8,5,63.27
207.61,41.55,5,58.44
220.27,172.34,5,70.32
121.68,65.52,5,60.96
281.54,34.34,5,58.36
108.56,30.4,5,58.53
293.08,77.68,5,61.25
6.78,42.45,5,58.81
219.37,111.89,5,66.17
185.59,164.46,5,72.63
160.96,160.07,5,72.85
9.48,182.8,5,68.38
358.23,160.29,5,72.8
130.78,208.47,5,64.75
159.04,81.28,5,62.21
49.74,223.55,5,65.29
91.29,45.15,5,60.7
257.9,142.85,5,72.49
234.65,222.54,5,66.04
78.66,131.93,5,70.54
42.35,173.12,5,69.38
37.99,207.23,5,65.01
378.69,84.43,5,62.09
60.64,63.94,5,59.87
218.58,181.12,5,68.94
233.93,245.61,5,66.71
148.87,143.18,5,73.05
344.67,246.96,5,67.15
348.28,187.19,5,67.4
181.74,92.65,5,62.05
88.5,169.18,5,70.7
392.46,52.35,5,60.26
354.47,175.38,5,69.11
34.81,145.1,5,74.4
330.43,191.02,5,66.3
346.71,60.12,5,60.75
326.85,73.96,5,61.3
72.36,238.63,5,66.6
67.28,174.47,5,69.01
88.34,59.67,5,60.58
281.48,73.4,5,60.63
175.68,99.29,5,62.67
169.05,66.65,5,60.79
79.71,88.71,5,61.23
303.72,135.19,5,71.83
193.63,45.37,5,58.93
15.71,178.3,5,68.83
163.87,94.9,5,62.9
129.8,117.07,5,67.14
361.74,159.17,5,72.68
114.61,132.15,5,70.09
159.07,184.94,5,67.85
39.2,232.1,5,65.86
7.66,128.78,5,69.97
88.2,145.77,5,73.34
230.85,58.32,5,60.67
341.02,133.73,5,70.76
20.73,76.89,5,61.48
167.07,171.55,5,70.17
149,157.37,5,72.53
360.78,67.43,5,60.92
108.38,114.82,5,66.57
307.78,149.04,5,75.81
20.94,36.82,5,58.99
356.09,39.18,5,58.45
113.31,249.55,5,67.51
97.36,119.32,5,68.13
166.63,64.96,5,60.16
242.85,206.89,5,64.56
207.69,101.76,5,63.16
318.5,116.4,5,67.66
186.47,214.09,5,65.05
356.06,48.52,5,61.49
346.44,192.93,5,65.27
197.15,40.76,5,59.16
356.26,247.19,5,66.82
254.17,175.71,5,69.43
141.24,227.26,5,65.24
279.13,202.16,5,64.36
238.09,157.93,5,73.95
359.19,181.79,5,68.07
209.36,229.29,5,65.31
358.27,105.03,5,64.16
19.35,226.81,5,65.94
136.76,125.4,5,69.63
399.05,121.69,5,68.52
30.74,26.13,5,57.84
302.5,215.67,5,65
361.7,185.62,5,66.61
192.36,56.74,5,60.91
328.73,116.17,5,66.79
161.28,175.94,5,69.3
148.69,57.75,5,59.94
223.62,109.87,5,64.89
28.2,95.46,5,62.2
242.74,131.14,5,70.42
16.14,121.91,5,67.5
23.24,39.52,5,58.72
74.29,157.25,5,73.26
378.58,61.36,5,61.47
116.58,147.69,5,74.41
359.17,119.88,5,67.96
26.81,133.39,5,71.37
268.17,234.8,5,66.74
144.17,122.36,5,68.17
67.89,128.66,5,69.37
278.57,103.23,5,63.62
179.07,49.2,5,59.99
34.45,225.35,5,64.82
21.11,166.93,5,71.31
48.08,42.78,5,58.59
330.28,144.08,5,73.85
102.59,136.21,5,71.58
266.74,119.66,5,68.06
123.92,96.36,5,62.25
259.4,83.08,5,62.12
149.89,185.73,5,67.03
118.53,221.64,5,65.55
147.38,92.2,5,61.99
56.32,46.95,5,59.66
52.87,225.69,5,65.92
261.74,122.81,5,69.48
109.63,71.15,5,61.43
19.27,35.81,5,58.87
120.97,137.56,5,72.71
222.48,194.4,5,65.01
308.06,42.56,5,60.1
224.83,72.16,5,61.18
313.76,227.83,5,65.32
149.57,78.69,5,61.73
143.26,233.79,5,65.69
66.11,100.19,5,61.72
314.95,184.49,5,67.55
70.83,235.59,5,66.03
224.88,171.21,5,70.49
346.12,75.31,5,60.88
299.35,87.24,5,62.28
26.28,45.04,5,59.2
380.89,68.9,5,60.48
269.15,90.06,5,61.6
329.74,191.25,5,66.14
64.77,217.02,5,65.36
121.31,169.86,5,70.88
199.98,210.04,5,64.07
215.21,140.15,5,73.71
76.37,117.3,5,66.89
20.46,230.3,5,65.9
130.5,135.76,5,71.58
366.57,175.6,5,69.17
71.7,99.74,5,62.63
212.38,40.98,5,58.26
346.22,195.64,5,65.72
219.95,185.84,5,66.98
8.97,122.25,5,68.03
198.5,72.39,5,62.04
206,96.59,5,63.18
92.59,183.25,5,66.97
80.9,114.93,5,66.6
333.98,182.92,5,68.12
201.05,94.22,5,62.68
367.37,58.09,5,60.38
311.64,128.89,5,69.58
143.68,167.72,5,70.73
168,239.08,5,66.93
386.42,34.9,5,58.4
285.58,29.61,5,58.39
252.58,227.71,5,65.63
188.7,242.57,5,66.5
206.34,39.74,5,59.02
225.36,137.67,5,72.5
353.94,155.23,5,74.98
187.23,148.14,5,74.92
98.34,233.68,5,66.52
270.98,176.28,5,69.69
132.11,193.61,5,65.92
139.24,43.46,5,59.71
289.38,106.49,5,64.64
304.4,57.64,5,60.07
73.85,160.97,5,71.89
291.51,203.74,5,63.81
163.87,238.41,5,66.18
280.24,209.7,5,65.29
130.08,178.19,5,69.09
321.2,112.57,5,65.98
222.93,119.43,5,67.56
215.64,64.17,5,60.25
226.96,243.81,5,66.94
85.76,89.27,5,63.12
282.06,128.21,5,69.86
67,134.85,5,71.14
207.84,240.32,5,66.67
354.43,190.23,5,65.55
222.63,204.08,5,62.78
141.96,173.24,5,69.74
258.23,232.55,5,66.03
134.94,40.31,5,58.63
362.43,76.55,5,61.16
72.65,67.21,5,60.43
300.96,176.05,5,69.49
342.01,62.48,5,60.16
110.99,155.45,5,73.64
331.46,223.1,5,66.21
107.27,188.99,5,66.61
375.63,116.85,5,67.18
20.1,150.39,5,74.99
202.2,138.12,5,72.35
395.8,233.9,5,66.73
115.27,244.93,5,66.4
67.95,233.23,5,65.67
278.85,127.43,5,69.43
143.12,242.12,5,67.51
44.64,151.63,5,74.07
199.02,61.92,5,60.77
263.49,165.36,5,71.24
206.68,60.79,5,60.55
306.61,215.11,5,64.78
205.64,177.85,5,68.13
65.06,219.95,5,65.19
119.92,43.8,5,60.2
317.81,26.35,5,58.21
267.69,241.78,5,65.24
9.44,44.25,5,58.88
350.53,98.05,5,63.22
387.97,144.42,5,72.24
190.76,54.26,5,59.49
386.3,178.75,5,68.66
5.47,199.24,5,64.55
21.34,126.41,5,69.14
205.97,100.64,5,62.98
302.92,54.04,5,60.16
355.25,120,5,67.88
226.47,122.59,5,68.59
221.87,227.49,5,65.66
49.75,40.53,5,59.44
211.07,125.51,5,69.71
223.15,231.77,5,65.96
40.76,86.79,5,61.82
303.51,60.91,5,60.33
273.01,196.76,5,65.65
383.18,228.16,5,64.9
371.45,157.48,5,73.31
289.38,87.81,5,62.38
165.46,40.65,5,58.43
83.53,220.17,5,65.61
377.89,84.77,5,61.15
322.79,50.21,5,59.44
3.99,106.38,5,64.9
356.16,113.47,5,66.65
176.81,218.26,5,65.19
249.6,138.34,5,72.52
344.68,71.04,5,61.33
167.78,61.58,5,59.83
350.05,223.66,5,65
100.4,58.65,5,60.56
276.8,167.05,5,71.52
318.5,243.92,5,66.45
190.57,27.81,5,58.24
379.59,234.13,5,66.19
167.71,105.37,5,64.27
195.13,138.57,5,71.99
90.15,46.72,5,58.83
287.38,74.52,5,61.49
