concentration(ppm),temperature,Dose(mol%),response
47.12,372.99,1,6.71
29.06,166.84,3,6.17
23.79,328.17,3,5.47
30.03,177.74,3,6.48
28.94,163.1,0,5.45
31.31,224.79,1,4.02
48.85,276.7,0,7.79
12.1,118.48,5,2.2
33.91,342.84,3,6.93
35.81,173.85,5,4.85
44.65,394.05,3,7.89
37.93,160.38,3,6.97
7.65,289.8,0,0.59
46.52,223.86,5,5.56
42.2,231.4,0,7.3
37.34,251.2,0,6.77
37.35,365.89,5,5.14
11.26,158.78,5,2.03
44.62,139.85,5,5.38
47.97,247.34,3,8.79
44.86,351.79,1,6.22
36.78,300.98,3,6.89
33.67,34.84,3,6.65
15.76,79.03,1,2.06
6.6,132.7,0,0.76
26.61,180.7,1,3.36
38.14,115.64,3,6.71
24.57,161.57,1,3.13
11.27,387.1,3,4.08
23.47,74.32,3,5.24
41.68,321.96,1,5.43
13.19,175.16,3,3.89
26.35,162.53,3,5.67
29.11,204.15,1,3.98
48.4,62.2,0,8.0
45.38,165.96,5,5.45
40.0,245.71,3,6.86
45.65,90.26,3,7.94
24.49,240.43,5,3.37
43.06,123.67,5,5.39
20.35,121.99,1,2.45
49.84,84.59,5,5.47
31.27,181.66,5,4.01
47.68,219.94,3,8.6
19.78,274.22,3,4.46
34.57,345.2,0,6.51
38.77,240.4,0,6.83
38.51,292.32,1,4.65
33.55,245.8,1,4.35
18.88,66.9,0,1.77
34.89,186.2,0,6.58
19.91,314.45,3,4.59
15.96,282.96,3,4.08
0.35,155.7,0,0.02
27.27,308.09,3,6.13
41.94,127.81,5,5.42
22.43,194.49,3,5.16
24.35,359.9,3,5.58
1.98,227.8,0,0.2
19.04,184.08,5,2.55
14.11,128.1,0,1.39
25.96,173.1,0,4.37
31.43,112.6,5,4.17
31.67,228.16,1,4.37
46.8,369.98,1,6.68
45.2,84.5,0,7.38
12.25,227.99,3,3.72
33.05,318.44,3,6.67
48.62,242.49,5,5.43
14.36,65.9,1,1.83
45.99,346.9,3,8.26
35.67,265.68,1,4.66
43.12,265.34,3,7.26
32.77,313.4,0,6.22
19.44,374.05,3,4.6
20.16,147.7,0,1.94
40.75,394.6,0,7.13
34.02,130.8,0,6.31
48.74,126.18,5,5.45
28.3,302.31,3,6.06
37.31,281.07,1,4.72
34.41,381.57,5,4.72
36.76,196.07,3,6.98
21.04,252.29,3,5.03
22.15,161.6,5,2.83
28.71,188.4,0,5.44
4.93,360.7,0,0.57
32.95,314.5,3,6.69
27.51,291.25,3,6.28
39.24,131.9,0,7.08
38.84,147.6,0,6.79
33.85,154.71,5,4.45
18.94,108.85,1,2.29
21.49,132.68,1,2.81
44.86,313.49,5,5.61
35.59,264.93,1,4.53
12.96,257.6,3,3.87
41.78,322.9,1,5.36
45.2,354.98,1,6.43
34.97,333.1,0,6.32
41.52,320.46,1,5.38
36.83,276.56,1,4.68
38.38,336.32,3,7.0
40.28,31.84,5,5.05
14.2,372.37,3,4.13
20.73,125.55,1,2.52
24.1,166.66,3,5.34
35.67,28.66,5,4.72
20.01,292.3,0,2.02
37.13,124.66,3,6.89
15.0,71.9,1,1.82
43.57,379.04,3,7.56
36.57,272.02,5,4.9
14.54,67.58,1,1.79
27.27,190.29,5,3.84
11.01,329.1,0,0.98
16.82,83.81,3,3.9
39.91,305.45,1,5.19
22.45,141.68,1,3.06
39.81,304.51,1,4.93
14.9,373.12,5,2.58
20.57,46.14,5,2.65
15.62,151.75,5,2.47
41.45,232.6,3,7.0
25.21,81.88,5,3.21
16.3,285.99,5,2.6
48.77,107.4,0,7.78
22.59,143.0,1,3.0
3.95,83.2,0,0.57
46.62,248.9,0,7.8
11.43,197.5,3,3.7
19.58,104.38,3,4.4
11.75,49.62,3,3.7
46.25,355.9,3,8.21
14.8,121.93,3,3.65
23.26,395.94,3,5.57
47.3,394.25,5,5.84
17.53,353.0,0,1.92
11.08,249.21,5,2.35
49.96,149.28,3,9.34
25.75,172.64,1,3.41
21.07,128.74,1,2.69
26.91,180.48,5,3.65
30.37,215.52,3,6.39
3.98,137.5,0,0.39
40.38,309.77,1,4.99
48.76,388.37,1,7.24
25.94,262.46,3,5.8
45.35,395.74,3,8.1
38.09,79.5,0,6.86
35.3,104.04,3,6.59
41.92,126.5,0,7.14
9.93,341.5,0,1.05
40.34,176.4,3,7.05
39.78,378.77,3,7.28
12.72,219.55,5,2.23
29.67,209.4,1,3.95
15.88,80.15,1,2.08
30.18,384.41,3,6.46
34.24,188.8,0,6.26
38.19,350.6,5,5.31
17.9,242.9,3,4.39
32.79,216.2,0,6.42
14.28,29.0,3,3.5
41.94,324.4,1,5.55
44.26,346.16,1,5.85
49.88,75.76,5,5.45
45.38,356.67,1,6.36
45.27,192.71,3,7.98
19.61,148.2,0,2.09
44.6,255.71,5,5.72
41.5,320.27,1,5.42
26.81,303.8,0,4.91
33.39,378.2,0,6.3
31.99,89.14,3,6.41
18.76,230.3,0,2.04
49.18,263.57,5,5.69
48.4,179.73,5,5.44
21.89,262.3,0,2.72
39.7,102.16,3,7.01
38.2,45.59,3,6.74
44.61,322.83,3,7.88
36.7,289.55,3,7.07
49.32,202.19,3,9.36
49.2,276.86,3,9.46
39.32,357.8,0,6.86
22.29,140.18,1,3.09
31.79,111.88,5,4.16
49.38,394.18,1,7.33
10.66,195.4,0,1.23
44.42,78.34,5,5.38
25.97,130.12,3,5.56
35.37,262.87,1,4.46
38.88,243.59,3,6.78
47.04,330.98,5,5.82
13.71,115.1,0,1.38
12.38,47.32,1,1.74
13.22,55.2,1,1.83
38.22,65.8,0,6.84
43.7,394.8,0,7.25
21.21,289.03,5,3.01
34.35,253.3,1,4.46
34.05,364.55,3,6.64
25.5,275.73,3,5.62
33.87,257.4,0,6.38
40.84,267.0,3,7.12
30.37,178.2,0,5.87
40.32,355.56,3,7.0
31.01,353.01,5,4.27
6.75,49.5,0,0.54
12.36,47.14,1,1.77
4.23,34.8,0,0.29
31.42,45.2,0,6.11
44.72,357.48,5,5.48
17.82,62.84,3,3.98
17.7,326.31,5,2.74
28.63,338.1,5,4.19
10.3,27.81,1,1.38
30.22,41.16,3,6.32
24.07,366.35,3,5.49
31.31,301.59,5,4.21
27.86,341.79,3,6.06
19.74,130.36,5,2.52
36.79,36.49,5,4.81
40.08,306.95,1,5.02
36.43,84.83,5,4.85
48.45,27.12,3,8.77
38.11,202.99,5,5.09
32.71,53.55,5,4.34
40.9,386.1,5,5.58
29.63,209.03,1,3.99
31.02,292.1,0,6.04
17.52,95.54,1,2.31
16.0,81.28,1,1.98
21.99,137.37,1,2.84
16.96,77.7,0,1.85
46.48,366.98,1,6.55
25.78,343.31,3,5.8
5.65,312.9,0,0.61
23.84,328.62,3,5.46
16.64,87.28,1,2.14
23.63,73.84,3,5.03
47.36,86.81,5,5.48
31.13,223.1,1,4.11
48.36,257.3,3,8.89
24.61,191.2,0,3.97
31.62,94.6,0,6.19
43.14,109.96,3,7.46
11.41,140.17,3,3.67
20.52,370.23,3,4.86
14.24,64.77,1,1.96
49.8,398.12,1,7.49
39.85,304.89,1,4.93
48.12,382.37,1,7.07
33.06,233.03,3,6.56
19.74,281.68,3,4.61
13.81,334.66,3,3.79
48.2,89.67,3,8.53
18.22,381.27,5,2.71
31.25,224.22,1,4.24
9.05,145.9,0,0.89
25.14,86.4,0,3.97
11.12,58.18,5,1.95
19.6,261.02,5,2.75
15.78,246.56,5,2.46
48.07,349.8,0,7.99
21.45,132.3,1,2.75
49.9,399.06,1,7.51
44.55,116.4,0,7.34
0.03,209.1,0,0.01
40.48,63.03,5,5.18
43.47,352.1,0,7.36
31.9,374.86,3,6.84
16.12,218.61,5,2.64
41.05,95.1,0,7.17
15.72,78.65,1,2.01
14.74,69.46,1,1.94
40.24,308.45,1,5.04
44.33,220.77,3,7.49
38.1,312.98,3,7.04
18.88,108.29,1,2.25
35.72,56.6,3,6.55
45.02,353.29,1,5.98
15.86,79.96,1,2.13
25.38,112.79,3,5.76
21.93,136.81,1,2.76
19.52,52.67,5,2.59
24.53,161.19,1,3.18
30.17,323.07,3,6.43
27.3,112.61,3,5.89
48.34,357.32,5,5.6
35.08,366.21,3,7.08
11.64,149.09,5,2.31
49.24,392.87,1,7.34
44.05,153.6,0,7.4
41.04,315.96,1,5.24
15.62,77.71,1,2.08
22.67,143.75,1,2.86
45.91,393.14,3,8.19
23.04,110.1,0,3.31
26.97,213.32,5,3.58
47.51,148.57,3,8.58
29.07,269.99,3,6.51
37.16,203.02,3,6.91
48.52,248.42,3,8.82
17.4,94.41,1,2.22
23.58,292.32,3,5.23
35.72,144.2,0,6.57
15.54,76.96,1,1.95
29.91,59.34,5,3.83
41.64,88.71,3,7.07
16.04,81.65,1,2.14
38.07,301.15,5,5.34
48.48,158.31,5,5.49
15.4,75.65,1,2.14
32.61,236.98,1,4.29
11.76,41.51,1,1.54
35.44,331.4,0,6.6
24.27,179.44,5,3.29
25.35,168.88,1,3.48
30.43,216.53,1,3.99
33.47,245.05,1,4.34
37.44,196.17,3,6.65
33.21,221.29,3,6.69
17.71,220.1,0,1.93
28.77,69.16,5,3.74
23.15,148.25,1,2.97
36.03,269.06,1,4.7
6.53,323.6,0,0.51
12.95,348.23,3,4.09
34.72,57.2,0,6.63
42.06,110.0,5,5.28
38.63,293.45,1,4.95
42.56,387.3,3,7.63
17.62,286.28,5,2.62
14.2,64.39,1,1.92
44.74,60.99,3,7.76
32.83,239.04,1,4.42
43.92,262.9,0,7.25
2.0,231.0,0,0.06
45.08,115.45,5,5.2
6.5,75.5,0,0.46
31.49,226.48,1,4.25
43.92,342.97,1,6.17
11.59,139.47,3,3.53
49.27,53.78,3,9.27
45.7,272.26,5,5.57
25.35,353.79,5,3.77
28.26,182.29,3,6.09
10.88,33.25,1,1.35
30.41,105.2,3,6.48
17.92,346.9,5,2.59
22.16,287.2,0,2.86
26.51,369.95,5,3.9
32.69,122.05,3,6.71
31.53,134.18,3,6.48
1.13,161.9,0,0.03
10.0,25.0,1,1.45
19.02,260.94,3,4.62
43.62,36.59,3,7.11
16.79,107.25,3,4.18
26.49,179.58,1,3.43
17.84,98.54,1,2.13
21.36,127.8,0,2.63
35.07,301.2,0,6.35
26.59,310.4,0,4.49
36.81,276.38,1,4.7
36.21,163.18,3,6.71
11.43,349.0,0,1.1
39.52,187.2,0,7.0
41.82,284.66,5,5.43
24.01,156.32,1,3.05
45.87,115.6,0,7.7
22.57,38.76,5,2.88
26.85,122.1,3,5.76
39.59,45.0,0,6.99
31.55,279.87,5,4.29
43.1,214.5,0,7.44
38.16,203.89,3,6.96
14.7,69.08,1,1.98
48.76,63.29,3,8.9
49.34,94.18,5,5.38
44.54,216.03,5,5.43
16.38,150.7,0,1.59
30.55,217.66,1,4.07
27.36,102.0,0,4.94
16.91,332.13,3,4.38
10.0,165.45,5,2.13
18.06,334.92,5,2.76
42.2,326.84,1,5.52
47.82,101.8,0,7.84
32.3,335.6,3,6.67
12.03,84.5,0,1.3
1.35,152.2,0,0.26
14.05,267.25,3,3.94
16.5,85.97,1,1.99
46.14,273.01,5,5.59
13.63,272.9,0,1.27
19.34,177.39,3,4.34
11.86,168.1,0,1.13
25.85,61.23,3,5.63
0.1,394.6,0,0.02
14.24,221.68,3,3.84
18.61,34.7,0,1.97
48.62,387.06,1,7.03
10.19,333.55,3,3.99
22.49,142.06,1,3.03
40.93,279.22,3,7.09
48.4,338.7,3,9.16
13.26,337.3,0,1.17
11.01,383.94,3,4.03
33.03,338.88,5,4.39
43.14,232.68,5,5.51
30.84,143.9,0,6.18
48.68,382.23,3,9.0
24.16,124.4,0,3.68
32.27,117.07,3,6.39
28.31,306.04,3,6.34
33.3,311.56,3,6.57
19.06,294.9,0,1.97
25.26,292.5,0,3.98
36.93,277.5,1,4.44
23.01,146.94,1,3.14
24.24,396.19,3,5.54
27.29,187.08,1,3.53
28.43,207.79,5,3.72
37.19,363.9,0,6.84
17.51,354.67,3,4.28
49.85,395.5,0,7.92
2.75,145.9,0,0.29
24.84,68.7,0,3.9
37.14,129.0,0,6.56
34.43,81.65,5,4.54
36.13,292.78,5,4.99
11.98,291.3,0,1.18
19.64,115.42,1,2.3
32.67,107.57,5,4.34
15.8,79.4,1,2.02
31.69,228.35,1,4.21
16.56,86.53,1,2.18
39.99,348.75,5,5.65
45.89,335.72,3,8.23
31.91,230.42,1,4.18
10.49,362.9,3,3.8
12.4,327.79,5,2.49
16.66,68.53,5,2.31
10.25,342.87,3,3.9
43.28,336.97,1,5.76
32.91,314.93,3,6.63
20.22,67.69,3,4.64
28.55,228.11,5,3.9
47.88,372.36,3,8.78
32.17,232.85,1,4.15
17.18,202.46,3,4.29
38.77,164.95,3,6.98
33.23,73.33,5,4.56
14.64,68.52,1,1.92
30.22,334.1,0,5.88
20.18,268.07,3,4.72
46.65,47.39,3,8.01
26.19,176.76,1,3.34
33.01,290.64,5,4.45
18.82,107.73,1,2.37
14.61,128.54,3,3.91
17.56,26.29,3,3.91
22.35,128.83,5,3.02
45.8,64.36,3,7.99
25.71,172.26,1,3.46
33.27,309.73,3,6.66
15.9,220.84,5,2.43
39.49,301.51,1,4.87
34.51,254.8,1,4.44
16.18,126.56,5,2.39
42.82,106.3,0,7.22
36.23,360.56,5,5.16
14.28,272.4,0,1.59
17.76,161.4,3,3.98
25.43,169.63,1,3.26
31.29,183.01,5,4.15
34.39,127.47,5,4.77
46.8,373.7,0,7.63
42.06,325.53,1,5.45
41.85,238.9,0,7.11
28.33,244.52,3,6.01
11.58,68.45,5,1.87
35.84,228.1,0,6.77
36.17,276.69,3,7.02
24.38,132.12,3,5.5
26.29,177.7,1,3.55
47.44,105.07,5,5.37
49.8,298.57,5,5.67
14.5,67.21,1,2.0
37.01,310.3,3,6.91
14.44,226.65,3,3.66
49.95,37.67,3,9.34
26.53,179.95,1,3.64
14.56,67.77,1,1.83
35.09,328.0,0,6.47
44.34,346.91,1,6.12
14.73,285.2,0,1.55
11.46,38.69,1,1.72
42.76,241.58,3,7.31
11.61,133.4,0,1.0
16.88,89.53,1,2.11
44.02,343.91,1,6.04
14.26,64.96,1,1.93
23.73,153.69,1,3.03
18.27,367.61,3,4.56
21.21,130.05,1,2.71
38.75,294.57,1,5.04
44.36,347.1,1,6.11
22.11,30.39,3,4.87
27.97,29.88,5,3.69
34.79,306.2,0,6.57
10.31,398.4,3,4.08
12.46,70.0,0,1.18
20.26,345.9,0,2.1
20.15,238.36,3,4.63
21.55,113.53,3,4.62
24.21,158.19,1,3.15
36.49,273.37,1,4.66
39.11,374.11,5,5.32
32.52,96.1,0,6.25
1.9,166.3,0,0.1
40.64,312.21,1,4.98
16.81,143.1,0,1.73
20.15,333.45,5,2.8
30.55,341.71,5,4.27
45.1,390.95,5,5.74
28.99,249.03,5,3.97
16.22,54.42,5,2.44
38.21,102.19,5,5.2
16.38,118.84,5,2.4
39.39,318.39,5,5.51
37.84,279.05,3,6.81
45.52,289.88,3,7.78
34.07,146.35,5,4.59
16.62,93.25,3,4.05
24.03,274.65,3,5.51
45.04,186.62,3,7.74
24.28,106.19,3,5.34
31.67,354.67,5,4.64
10.44,292.71,3,4.12
49.5,125.9,0,7.77
10.67,125.23,3,3.62
31.45,390.35,3,6.86
25.81,82.51,5,3.39
28.46,104.8,0,5.25
43.05,174.87,3,7.16
29.37,206.59,1,3.9
16.67,230.07,3,4.1
31.55,247.64,3,6.52
10.56,30.25,1,1.4
42.96,205.32,3,7.53
48.91,163.98,3,8.94
20.56,295.2,0,2.25
28.75,165.47,3,6.3
46.6,368.11,1,6.65
3.08,230.5,0,0.14
32.79,238.67,1,4.35
46.46,255.63,5,5.53
10.08,25.75,1,1.39
13.27,309.58,3,4.03
11.99,281.07,3,3.88
29.85,211.09,1,3.95
12.47,143.78,3,3.71
34.54,169.89,3,6.71
39.94,226.32,3,6.81
29.17,204.71,1,3.93
26.05,175.45,1,3.42
20.01,118.8,1,2.59
14.52,67.4,1,1.9
41.9,330.7,0,7.29
2.45,136.5,0,0.42
36.47,232.8,0,6.6
11.3,37.19,1,1.68
45.52,143.28,5,5.28
27.76,350.5,0,5.18
17.34,281.61,3,4.23
22.31,140.37,1,2.86
46.5,367.17,1,6.64
10.23,161.94,3,3.87
15.61,127.6,0,1.64
48.42,285.86,5,5.41
48.02,232.83,5,5.61
15.21,200.3,0,1.59
36.92,228.03,3,6.72
33.78,47.26,3,6.54
19.14,110.73,1,2.3
32.01,84.55,3,6.39
40.81,171.51,3,7.05
14.9,70.96,1,1.91
19.86,95.55,5,2.51
25.04,355.1,0,4.18
44.08,344.47,1,6.13
14.82,382.72,5,2.6
12.76,161.36,5,2.33
0.18,80.8,0,0.18
29.77,210.34,1,3.94
32.66,111.48,3,6.67
12.24,302.13,3,3.71
38.77,100.7,5,5.19
11.3,228.51,5,2.37
41.5,106.28,5,5.38
15.23,364.3,0,1.58
27.23,186.52,1,3.43
41.17,182.45,3,7.18
25.51,81.22,5,3.15
38.03,87.86,5,5.08
13.86,99.5,0,1.45
31.27,150.15,3,6.47
31.99,156.3,5,4.29
28.9,230.37,3,6.36
16.86,50.8,0,1.58
16.5,254.61,3,4.19
30.02,257.4,0,5.81
3.55,94.0,0,0.25
3.03,385.5,0,0.28
38.04,367.1,0,6.95
4.15,253.5,0,0.34
43.28,211.36,5,5.41
48.27,343.9,0,7.81
48.98,390.43,1,7.36
48.22,383.3,1,7.23
13.7,59.7,1,1.88
39.13,283.57,5,5.47
49.02,390.81,1,7.08
38.13,341.56,5,5.18
30.92,198.4,0,6.26
44.2,330.6,0,7.47
41.34,318.77,1,5.34
17.34,364.51,5,2.75
21.01,220.06,5,2.88
44.18,257.35,5,5.52
14.71,178.51,3,3.93
16.8,88.78,1,2.07
23.16,171.5,0,3.11
43.48,71.33,3,7.48
17.2,170.56,5,2.57
9.95,139.1,0,0.89
17.63,393.5,0,1.71
13.62,58.95,1,1.71
28.86,303.39,3,6.53
37.68,72.56,3,6.82
17.74,91.54,5,2.65
48.92,159.74,3,8.87
34.69,132.4,0,6.33
17.34,93.85,1,2.21
39.53,301.89,1,4.94
35.85,237.83,5,4.88
16.04,26.66,3,3.71
41.85,109.06,3,7.11
19.96,390.4,5,2.85
47.86,379.93,1,6.92
24.63,162.13,1,3.1
19.1,307.85,3,4.36
35.75,156.49,5,4.83
46.3,365.3,1,6.55
38.07,57.0,0,6.76
42.72,235.55,3,7.24
40.1,307.14,1,5.01
34.47,319.71,3,6.69
32.67,237.54,1,4.31
24.46,225.24,3,5.64
45.72,208.23,3,7.87
44.3,46.81,5,5.24
39.53,327.94,5,5.49
28.69,200.21,1,3.85
38.32,35.6,0,6.92
10.24,27.25,1,1.45
28.64,225.0,0,5.28
25.42,72.46,3,5.42
37.97,318.1,0,6.98
22.19,283.9,5,3.25
40.44,310.33,1,5.17
28.57,262.55,5,4.06
8.03,196.9,0,0.91
44.44,159.69,3,7.54
35.54,118.76,3,6.66
44.5,348.41,1,6.03
15.72,253.28,3,3.98
49.0,390.62,1,7.24
4.43,82.4,0,0.54
29.77,117.4,5,3.88
30.97,221.6,1,4.24
43.02,334.53,1,5.81
33.02,67.7,0,6.35
41.68,211.29,5,5.46
22.87,222.17,3,5.23
38.99,296.82,1,4.9
31.01,360.73,3,6.64
15.66,78.09,1,1.9
22.87,145.62,1,2.78
18.5,177.61,3,4.49
28.19,167.38,5,3.97
35.6,361.42,3,6.8
13.11,310.37,3,3.87
18.36,103.41,1,2.44
11.1,370.7,5,2.47
33.1,140.39,3,6.69
45.19,68.5,3,7.61
46.72,147.6,0,7.62
14.58,261.68,5,2.53
18.86,108.1,1,2.37
36.71,275.44,1,4.64
18.84,107.92,1,2.17
27.96,345.5,0,5.04
22.43,103.51,5,2.98
34.94,389.7,0,6.46
44.49,222.14,3,7.62
41.32,50.2,3,7.02
49.61,356.6,3,9.71
35.33,262.49,1,4.52
30.54,248.4,0,5.99
46.89,130.17,3,8.04
28.58,171.5,3,6.06
11.35,271.06,3,3.85
14.25,187.43,3,3.66
39.39,300.58,1,4.98
18.34,206.44,3,4.45
21.42,156.56,3,4.86
37.19,247.13,5,5.1
40.5,315.83,3,7.13
47.02,132.22,5,5.35
41.65,295.74,3,7.17
33.94,342.1,0,6.35
32.94,367.35,3,6.85
13.06,53.7,1,1.76
48.85,166.1,3,9.08
14.45,59.09,3,3.59
0.28,179.3,0,0.04
36.61,274.5,1,4.81
29.29,304.96,3,6.37
24.77,163.44,1,3.38
35.57,78.44,5,4.69
16.15,389.49,3,4.2
30.79,214.8,0,5.89
25.05,166.07,1,3.16
16.58,86.72,1,2.19
49.82,398.31,1,7.54
10.11,99.51,3,3.85
17.74,97.6,1,2.44
11.32,365.34,3,3.78
42.28,203.88,3,7.09
2.9,168.2,0,0.19
33.71,247.3,1,4.47
48.41,343.24,3,8.95
37.57,159.71,5,4.98
46.4,45.53,3,7.86
25.27,168.13,1,3.28
10.41,35.0,3,3.84
42.12,56.5,0,7.25
46.9,370.92,1,6.74
23.76,81.3,0,3.63
39.73,173.56,5,5.21
18.46,104.35,1,2.43
20.11,306.8,3,4.76
35.51,64.35,5,4.66
39.04,83.82,3,6.72
17.2,146.65,3,3.98
12.43,375.4,0,1.34
40.22,308.27,1,4.94
24.5,33.83,3,5.35
33.61,127.13,3,6.48
34.1,342.49,3,6.88
28.01,102.96,5,3.69
10.62,30.82,1,1.65
17.64,260.85,5,2.44
34.37,270.44,5,4.63
35.17,49.08,5,4.51
23.36,296.75,3,5.53
49.92,271.36,5,5.71
1.28,139.5,0,0.15
20.19,120.49,1,2.44
48.16,162.98,5,5.35
48.44,176.13,3,8.96
43.64,388.19,3,7.81
40.84,65.08,5,5.46
31.57,337.24,3,6.79
18.48,202.6,0,1.87
25.74,264.53,3,5.65
46.17,53.0,0,7.8
37.61,283.88,1,4.83
0.93,60.6,0,0.06
42.94,333.78,1,5.72
39.35,177.59,5,5.35
1.15,223.6,0,0.13
40.73,55.86,3,6.73
18.02,104.29,3,4.21
29.61,208.84,1,4.02
13.52,284.1,5,2.43
44.6,349.35,1,6.33
37.98,272.97,3,6.97
24.98,63.55,3,5.26
20.82,216.11,3,4.57
16.26,385.99,5,2.79
28.7,79.09,3,6.3
23.31,208.2,0,3.29
33.17,242.23,1,4.42
20.39,36.2,0,2.15
18.14,29.06,5,2.41
47.32,374.86,1,6.66
37.93,286.88,1,4.66
16.2,393.65,3,4.33
47.26,374.3,1,6.89
32.83,155.43,5,4.51
13.88,296.09,3,3.86
27.54,379.88,3,6.31
19.72,42.04,5,2.47
41.24,113.83,5,5.26
20.67,233.29,5,2.73
32.29,86.98,3,6.47
39.25,64.97,5,5.15
21.57,209.54,5,2.79
19.96,374.0,0,1.85
37.06,46.2,3,6.74
47.84,379.74,1,6.96
8.6,381.1,0,0.7
35.41,285.62,5,4.99
49.36,160.84,5,5.46
8.75,308.8,0,1.0
17.92,265.05,3,4.15
49.03,301.01,3,9.18
13.06,208.54,5,2.34
40.12,242.5,0,7.09
13.58,76.57,5,2.47
33.15,242.05,1,4.54
26.71,268.25,3,5.9
49.2,335.2,0,7.74
39.57,302.26,1,4.87
47.06,372.42,1,6.65
38.61,326.59,3,6.86
31.53,226.85,1,4.0
10.56,247.16,5,2.15
23.21,382.1,0,3.37
41.36,318.96,1,5.39
0.98,96.9,0,0.17
16.94,90.1,1,2.02
27.55,189.52,1,3.65
38.52,47.61,3,6.85
49.8,213.31,3,9.32
33.54,253.7,0,6.19
22.36,149.92,3,5.13
21.23,104.86,5,2.98
24.71,162.88,1,3.25
48.94,190.07,5,5.54
8.25,393.7,0,0.99
40.1,361.1,0,7.03
20.84,246.9,0,2.41
14.86,70.59,1,2.02
38.73,140.47,5,5.15
35.75,266.43,1,4.63
19.36,112.79,1,2.38
12.2,133.66,5,1.99
46.08,63.37,3,7.87
34.51,264.45,5,4.71
13.22,262.11,5,2.46
12.78,51.08,1,1.58
48.43,339.69,3,8.94
17.58,130.7,5,2.42
40.32,309.2,1,5.07
32.13,294.24,3,6.61
31.23,224.04,1,3.84
36.91,184.56,5,4.83
23.29,149.56,1,2.92
48.7,278.68,5,5.86
28.67,201.93,3,6.07
49.52,323.81,3,9.6
25.47,173.98,5,3.5
20.79,73.43,5,2.63
38.66,259.88,3,6.87
1.33,94.7,0,0.25
41.17,172.4,0,7.05
42.87,66.9,0,7.27
26.67,91.15,5,3.39
37.83,52.56,5,4.89
14.78,91.42,5,2.37
26.73,181.83,1,3.66
32.21,270.89,3,6.8
22.11,197.79,5,3.18
42.17,289.35,3,7.43
29.91,210.3,0,5.8
9.53,311.5,0,0.8
43.5,339.03,1,6.04
16.44,136.82,3,3.98
12.46,48.07,1,1.53
25.45,72.81,5,3.35
31.25,340.93,3,6.59
16.1,285.33,3,4.0
23.95,362.45,3,5.45
21.26,106.8,0,2.49
35.87,378.4,0,6.47
28.87,201.9,1,3.82
22.28,77.02,3,4.95
46.05,303.3,0,7.46
26.56,177.5,0,4.44
23.63,152.75,1,2.93
